model,checkpoint,step,module,layer,step_num,indicator,value,module_text,module_family,module_role
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,6,2,subspace_stability_topk,1.0007967948913574,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,6,2,subspace_stability_topk,0.9997602701187134,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,7,2,subspace_stability_topk,0.9994653463363647,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,7,2,subspace_stability_topk,0.9995744824409484,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,7,2,subspace_stability_topk,1.000810146331787,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,7,2,subspace_stability_topk,0.9997196793556212,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,8,2,subspace_stability_topk,0.9994688034057616,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,8,2,subspace_stability_topk,0.99969220161438,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,8,2,subspace_stability_topk,1.0008257627487185,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,8,2,subspace_stability_topk,0.99968284368515,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,9,2,subspace_stability_topk,0.9994632005691528,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,9,2,subspace_stability_topk,0.9996877312660216,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,9,2,subspace_stability_topk,1.0008386373519895,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,9,2,subspace_stability_topk,0.9997278451919556,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,10,2,subspace_stability_topk,0.9994821548461914,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,10,2,subspace_stability_topk,0.9996641874313354,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,10,2,subspace_stability_topk,1.000789999961853,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,10,2,subspace_stability_topk,0.9997274875640868,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,11,2,subspace_stability_topk,0.9995586276054382,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,11,2,subspace_stability_topk,0.9996854662895204,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,11,2,subspace_stability_topk,1.0008065700531006,mlp.dense_4h_to_h,mlp,mlp_out
