step_num,indicator,module_family,mean_value,n
16,num_singular_values,mlp,2048.0,32
16,rows,attention,4096.0,32
16,rows,mlp,5120.0,32
16,spectral_norm,attention,0.9876644602045417,32
16,spectral_norm,mlp,1.1344148041680455,32
16,stable_rank,attention,669.8780561017013,32
16,stable_rank,mlp,913.312753923191,32
16,subspace_stability_topk,attention,0.9995403215289116,32
16,subspace_stability_topk,mlp,1.0001530274748802,32
32,alpha_tail_frac_0.2,attention,5.724001191550961,32
32,alpha_tail_frac_0.2,mlp,7.988310856029274,32
32,alpha_tail_frac_0.3,attention,4.06213792857972,32
32,alpha_tail_frac_0.3,mlp,5.776926543117494,32
32,alpha_tail_frac_0.5,attention,2.478821749969494,32
32,alpha_tail_frac_0.5,mlp,3.675107683138881,32
32,cols,attention,2048.0,32
32,cols,mlp,5120.0,32
32,effective_rank,attention,1800.7409046049256,32
32,effective_rank,mlp,1978.8410889669656,32
32,frobenius_norm,attention,27.622546480406957,32
32,frobenius_norm,mlp,34.286145510766396,32
32,mean_singular_value,attention,0.5770228376408048,32
32,mean_singular_value,mlp,0.7331512298896996,32
32,median_eigenvalue,attention,0.5381867669592912,32
32,median_eigenvalue,mlp,0.7618315661297139,32
32,mp_edge,attention,27.133905074744625,32
32,mp_edge,mlp,1.8712917013502093,32
32,mp_outliers_x1,attention,0.0625,32
32,mp_outliers_x1,mlp,0.09375,32
32,mp_outliers_x1.1,attention,0.0,32
32,mp_outliers_x1.1,mlp,0.0,32
32,mp_outliers_x1.25,attention,0.0,32
32,mp_outliers_x1.25,mlp,0.0,32
32,nuclear_norm,attention,1181.7427714883681,32
32,nuclear_norm,mlp,1501.4937188141048,32
32,num_singular_values,attention,2048.0,32
32,num_singular_values,mlp,2048.0,32
32,rows,attention,4096.0,32
32,rows,mlp,5120.0,32
32,spectral_norm,attention,0.9876738358289003,32
32,spectral_norm,mlp,1.1344379978254437,32
32,stable_rank,attention,669.8557722831505,32
32,stable_rank,mlp,913.2618574915199,32
32,subspace_stability_topk,attention,0.9992174152284861,32
32,subspace_stability_topk,mlp,0.9978099819272757,32
64,alpha_tail_frac_0.2,attention,5.723744710663566,32
64,alpha_tail_frac_0.2,mlp,7.985626587992905,32
64,alpha_tail_frac_0.3,attention,4.061953589478247,32
64,alpha_tail_frac_0.3,mlp,5.775543758255929,32
64,alpha_tail_frac_0.5,attention,2.478786554433523,32
64,alpha_tail_frac_0.5,mlp,3.674543567648871,32
64,cols,attention,2048.0,32
64,cols,mlp,5120.0,32
64,effective_rank,attention,1800.7351204213064,32
64,effective_rank,mlp,1978.8294755159068,32
64,frobenius_norm,attention,27.622782725915254,32
64,frobenius_norm,mlp,34.28772771558519,32
64,mean_singular_value,attention,0.577026603710871,32
64,mean_singular_value,mlp,0.7331836653881965,32
64,median_eigenvalue,attention,0.5381540927795642,32
64,median_eigenvalue,mlp,0.7618477189579246,32
64,mp_edge,attention,27.142591564824148,32
64,mp_edge,mlp,1.8713313776444558,32
64,mp_outliers_x1,attention,0.0625,32
64,mp_outliers_x1,mlp,0.1875,32
64,mp_outliers_x1.1,attention,0.0,32
64,mp_outliers_x1.1,mlp,0.0,32
64,mp_outliers_x1.25,attention,0.0,32
64,mp_outliers_x1.25,mlp,0.0,32
64,nuclear_norm,attention,1181.7504843998638,32
64,nuclear_norm,mlp,1501.5601467150263,32
64,num_singular_values,attention,2048.0,32
64,num_singular_values,mlp,2048.0,32
64,rows,attention,4096.0,32
64,rows,mlp,5120.0,32
64,spectral_norm,attention,0.9877234548330307,32
64,spectral_norm,mlp,1.134606808423996,32
64,stable_rank,attention,669.7266610513108,32
64,stable_rank,mlp,912.7587593209158,32
64,subspace_stability_topk,attention,0.9976159818470478,32
64,subspace_stability_topk,mlp,0.9881453774869442,32
128,alpha_tail_frac_0.2,attention,5.71950332092179,32
128,alpha_tail_frac_0.2,mlp,7.9768968292407525,32
128,alpha_tail_frac_0.3,attention,4.060184724952282,32
128,alpha_tail_frac_0.3,mlp,5.771863865119767,32
128,alpha_tail_frac_0.5,attention,2.4782900815090745,32
128,alpha_tail_frac_0.5,mlp,3.6732748616853885,32
128,cols,attention,2048.0,32
128,cols,mlp,5120.0,32
128,effective_rank,attention,1800.6812030644626,32
128,effective_rank,mlp,1978.788062154026,32
128,frobenius_norm,attention,27.628784910764015,32
128,frobenius_norm,mlp,34.292172997388285,32
128,mean_singular_value,attention,0.5771392293514218,32
128,mean_singular_value,mlp,0.7332732284404528,32
