step_num,indicator,module_family,layer,mean_value,n
1,alpha_tail_frac_0.3,attention,14,4.05816217805246,2
1,alpha_tail_frac_0.3,attention,15,4.061728515867147,2
1,alpha_tail_frac_0.3,mlp,0,5.769370781706263,2
1,alpha_tail_frac_0.3,mlp,1,5.783293599312616,2
1,alpha_tail_frac_0.3,mlp,2,5.779426581520625,2
1,alpha_tail_frac_0.3,mlp,3,5.778374605461467,2
1,alpha_tail_frac_0.3,mlp,4,5.774278388345946,2
1,alpha_tail_frac_0.3,mlp,5,5.767975400949892,2
1,alpha_tail_frac_0.3,mlp,6,5.780244143643014,2
1,alpha_tail_frac_0.3,mlp,7,5.785164125956561,2
1,alpha_tail_frac_0.3,mlp,8,5.769685129735741,2
1,alpha_tail_frac_0.3,mlp,9,5.781119182625405,2
1,alpha_tail_frac_0.3,mlp,10,5.788774964647031,2
1,alpha_tail_frac_0.3,mlp,11,5.773554217942442,2
1,alpha_tail_frac_0.3,mlp,12,5.785947478734117,2
1,alpha_tail_frac_0.3,mlp,13,5.774651700219984,2
1,alpha_tail_frac_0.3,mlp,14,5.77085857332866,2
1,alpha_tail_frac_0.3,mlp,15,5.7682639507497875,2
1,alpha_tail_frac_0.5,attention,0,2.4805479707251825,2
1,alpha_tail_frac_0.5,attention,1,2.4773246836675176,2
1,alpha_tail_frac_0.5,attention,2,2.480492482345097,2
1,alpha_tail_frac_0.5,attention,3,2.4757682744799285,2
1,alpha_tail_frac_0.5,attention,4,2.4821215828196115,2
1,alpha_tail_frac_0.5,attention,5,2.4792108065719085,2
1,alpha_tail_frac_0.5,attention,6,2.4759258578185284,2
1,alpha_tail_frac_0.5,attention,7,2.476383183501196,2
1,alpha_tail_frac_0.5,attention,8,2.480486683519051,2
1,alpha_tail_frac_0.5,attention,9,2.4802660541043475,2
1,alpha_tail_frac_0.5,attention,10,2.4790774931851423,2
1,alpha_tail_frac_0.5,attention,11,2.478149367344402,2
1,alpha_tail_frac_0.5,attention,12,2.4781916306490412,2
1,alpha_tail_frac_0.5,attention,13,2.478084826201729,2
1,alpha_tail_frac_0.5,attention,14,2.480664419535688,2
1,alpha_tail_frac_0.5,attention,15,2.4783853389683985,2
1,alpha_tail_frac_0.5,mlp,0,3.6742696578464216,2
1,alpha_tail_frac_0.5,mlp,1,3.6736588716277963,2
1,alpha_tail_frac_0.5,mlp,2,3.679712764380983,2
1,alpha_tail_frac_0.5,mlp,3,3.6746357537568537,2
1,alpha_tail_frac_0.5,mlp,4,3.6720308322363007,2
1,alpha_tail_frac_0.5,mlp,5,3.672608668188477,2
1,alpha_tail_frac_0.5,mlp,6,3.6742529530173487,2
1,alpha_tail_frac_0.5,mlp,7,3.6747108779289714,2
1,alpha_tail_frac_0.5,mlp,8,3.6755147632405842,2
1,alpha_tail_frac_0.5,mlp,9,3.678838501332867,2
1,alpha_tail_frac_0.5,mlp,10,3.677660698568169,2
1,alpha_tail_frac_0.5,mlp,11,3.6748003752482754,2
1,alpha_tail_frac_0.5,mlp,12,3.6737860454981455,2
1,alpha_tail_frac_0.5,mlp,13,3.6772360176391556,2
1,alpha_tail_frac_0.5,mlp,14,3.674792733221369,2
1,alpha_tail_frac_0.5,mlp,15,3.6742338736005276,2
1,cols,attention,0,2048.0,2
1,cols,attention,1,2048.0,2
1,cols,attention,2,2048.0,2
1,cols,attention,3,2048.0,2
1,cols,attention,4,2048.0,2
1,cols,attention,5,2048.0,2
1,cols,attention,6,2048.0,2
1,cols,attention,7,2048.0,2
1,cols,attention,8,2048.0,2
1,cols,attention,9,2048.0,2
1,cols,attention,10,2048.0,2
1,cols,attention,11,2048.0,2
1,cols,attention,12,2048.0,2
1,cols,attention,13,2048.0,2
1,cols,attention,14,2048.0,2
1,cols,attention,15,2048.0,2
1,cols,mlp,0,5120.0,2
1,cols,mlp,1,5120.0,2
1,cols,mlp,2,5120.0,2
1,cols,mlp,3,5120.0,2
1,cols,mlp,4,5120.0,2
1,cols,mlp,5,5120.0,2
1,cols,mlp,6,5120.0,2
1,cols,mlp,7,5120.0,2
1,cols,mlp,8,5120.0,2
1,cols,mlp,9,5120.0,2
1,cols,mlp,10,5120.0,2
1,cols,mlp,11,5120.0,2
1,cols,mlp,12,5120.0,2
1,cols,mlp,13,5120.0,2
1,cols,mlp,14,5120.0,2
1,cols,mlp,15,5120.0,2
1,effective_rank,attention,0,1800.654705141359,2
1,effective_rank,attention,1,1800.7242650520466,2
1,effective_rank,attention,2,1800.729036980506,2
1,effective_rank,attention,3,1800.8511998273361,2
1,effective_rank,attention,4,1800.902016957159,2
1,effective_rank,attention,5,1800.8957263878424,2
1,effective_rank,attention,6,1800.5187663409988,2
1,effective_rank,attention,7,1800.8369737496914,2
1,effective_rank,attention,8,1800.7368201701272,2
1,effective_rank,attention,9,1800.793928263975,2
1,effective_rank,attention,10,1800.6096428195824,2
1,effective_rank,attention,11,1800.4453297997306,2
1,effective_rank,attention,12,1800.7728723353705,2
1,effective_rank,attention,13,1801.044938723927,2
1,effective_rank,attention,14,1800.5809947746263,2
1,effective_rank,attention,15,1800.7515165284149,2
1,effective_rank,mlp,0,1978.8515149423692,2
1,effective_rank,mlp,1,1978.8333051801892,2
1,effective_rank,mlp,2,1978.926278706826,2
1,effective_rank,mlp,3,1978.81080140721,2
1,effective_rank,mlp,4,1978.8429524566668,2
1,effective_rank,mlp,5,1978.7642501511796,2
1,effective_rank,mlp,6,1978.8420591271406,2
1,effective_rank,mlp,7,1978.8228825635601,2
1,effective_rank,mlp,8,1978.800791881601,2
1,effective_rank,mlp,9,1978.8996779099782,2
1,effective_rank,mlp,10,1978.9002210950457,2
1,effective_rank,mlp,11,1978.9081277242599,2
1,effective_rank,mlp,12,1978.8771686172606,2
1,effective_rank,mlp,13,1978.792957615312,2
1,effective_rank,mlp,14,1978.8281141406424,2
1,effective_rank,mlp,15,1978.7908333968676,2
1,frobenius_norm,attention,0,27.626323103671204,2
1,frobenius_norm,attention,1,27.616952432615406,2
1,frobenius_norm,attention,2,27.62472101204571,2
1,frobenius_norm,attention,3,27.630032704378856,2
1,frobenius_norm,attention,4,27.62218005780049,2
1,frobenius_norm,attention,5,27.614059864810827,2
1,frobenius_norm,attention,6,27.626877528757056,2
1,frobenius_norm,attention,7,27.624037704946712,2
1,frobenius_norm,attention,8,27.627517615573296,2
1,frobenius_norm,attention,9,27.62856509686937,2
1,frobenius_norm,attention,10,27.61753321303946,2
1,frobenius_norm,attention,11,27.63045701488415,2
1,frobenius_norm,attention,12,27.62369492706505,2
1,frobenius_norm,attention,13,27.613078938100927,2
1,frobenius_norm,attention,14,27.619741916731325,2
1,frobenius_norm,attention,15,27.613097817565137,2
1,frobenius_norm,mlp,0,34.27710695458076,2
1,frobenius_norm,mlp,1,34.27665044352884,2
1,frobenius_norm,mlp,2,34.28968131062802,2
1,frobenius_norm,mlp,3,34.28095661391914,2
1,frobenius_norm,mlp,4,34.28972794422455,2
1,frobenius_norm,mlp,5,34.281662682360654,2
1,frobenius_norm,mlp,6,34.28295842061066,2
1,frobenius_norm,mlp,7,34.29220037845719,2
1,frobenius_norm,mlp,8,34.285476265426354,2
1,frobenius_norm,mlp,9,34.29223659474625,2
1,frobenius_norm,mlp,10,34.29178639497841,2
1,frobenius_norm,mlp,11,34.29543423908867,2
1,frobenius_norm,mlp,12,34.28611120522536,2
1,frobenius_norm,mlp,13,34.28226576277391,2
1,frobenius_norm,mlp,14,34.28698069728759,2
1,frobenius_norm,mlp,15,34.28321620125139,2
1,mean_singular_value,attention,0,0.5771198900135336,2
1,mean_singular_value,attention,1,0.5769030045744296,2
1,mean_singular_value,attention,2,0.5770578058611004,2
1,mean_singular_value,attention,3,0.5771670214499993,2
1,mean_singular_value,attention,4,0.5770581190875741,2
1,mean_singular_value,attention,5,0.5768668552710943,2
1,mean_singular_value,attention,6,0.5770816237421786,2
1,mean_singular_value,attention,7,0.5770425883248862,2
1,mean_singular_value,attention,8,0.5771270278708904,2
1,mean_singular_value,attention,9,0.5771439616353788,2
1,mean_singular_value,attention,10,0.5769395346936828,2
1,mean_singular_value,attention,11,0.5771872667416926,2
1,mean_singular_value,attention,12,0.5770224678886957,2
1,mean_singular_value,attention,13,0.5768321010136666,2
1,mean_singular_value,attention,14,0.5769771189135547,2
1,mean_singular_value,attention,15,0.5768061940204596,2
1,mean_singular_value,mlp,0,0.7329476720224193,2
1,mean_singular_value,mlp,1,0.732937340195349,2
1,mean_singular_value,mlp,2,0.7332608181932302,2
1,mean_singular_value,mlp,3,0.7330360153209766,2
1,mean_singular_value,mlp,4,0.7332424043270293,2
1,mean_singular_value,mlp,5,0.7329990456019004,2
1,mean_singular_value,mlp,6,0.7330793146393262,2
1,mean_singular_value,mlp,7,0.7332776217263017,2
1,mean_singular_value,mlp,8,0.7331113121799717,2
1,mean_singular_value,mlp,9,0.7333223310088214,2
1,mean_singular_value,mlp,10,0.7333008035930106,2
1,mean_singular_value,mlp,11,0.7333608367662237,2
1,mean_singular_value,mlp,12,0.733164389816011,2
1,mean_singular_value,mlp,13,0.7330637093054975,2
1,mean_singular_value,mlp,14,0.7331714779138566,2
1,mean_singular_value,mlp,15,0.7330635485523089,2
1,median_eigenvalue,attention,0,0.5384977843087819,2
1,median_eigenvalue,attention,1,0.537655237908327,2
1,median_eigenvalue,attention,2,0.5391617620361797,2
1,median_eigenvalue,attention,3,0.5377832234003834,2
1,median_eigenvalue,attention,4,0.5378850102294048,2
1,median_eigenvalue,attention,5,0.5375585375036462,2
1,median_eigenvalue,attention,6,0.537918050680538,2
1,median_eigenvalue,attention,7,0.5377590342431599,2
1,median_eigenvalue,attention,8,0.5383232562034719,2
1,median_eigenvalue,attention,9,0.5386024653747985,2
1,median_eigenvalue,attention,10,0.5379378493237346,2
1,median_eigenvalue,attention,11,0.5385812856106053,2
1,median_eigenvalue,attention,12,0.5383528255743805,2
1,median_eigenvalue,attention,13,0.5382454298239068,2
1,median_eigenvalue,attention,14,0.538893332420691,2
1,median_eigenvalue,attention,15,0.5377063422683812,2
1,median_eigenvalue,mlp,0,0.7617501654472987,2
1,median_eigenvalue,mlp,1,0.7612053891545157,2
1,median_eigenvalue,mlp,2,0.7628836862176327,2
1,median_eigenvalue,mlp,3,0.7615539818525667,2
1,median_eigenvalue,mlp,4,0.7620698528532619,2
1,median_eigenvalue,mlp,5,0.7609984979824735,2
1,median_eigenvalue,mlp,6,0.7615896279202394,2
1,median_eigenvalue,mlp,7,0.7621054125667195,2
1,median_eigenvalue,mlp,8,0.7614187822124749,2
1,median_eigenvalue,mlp,9,0.7620355459371374,2
1,median_eigenvalue,mlp,10,0.7618682439474584,2
1,median_eigenvalue,mlp,11,0.7623793880403047,2
1,median_eigenvalue,mlp,12,0.7612876039919367,2
1,median_eigenvalue,mlp,13,0.7623478008300444,2
1,median_eigenvalue,mlp,14,0.7615744534736708,2
1,median_eigenvalue,mlp,15,0.7622843494957128,2
1,mp_edge,attention,0,27.191057773231247,2
1,mp_edge,attention,1,27.11445579849539,2
1,mp_edge,attention,2,27.134973411557013,2
1,mp_edge,attention,3,27.262076510924086,2
1,mp_edge,attention,4,27.112805680629684,2
1,mp_edge,attention,5,27.061152446604375,2
1,mp_edge,attention,6,27.101224956170313,2
1,mp_edge,attention,7,27.128448662465406,2
1,mp_edge,attention,8,27.18644178213471,2
1,mp_edge,attention,9,27.154262084432233,2
1,mp_edge,attention,10,27.19096535153495,2
1,mp_edge,attention,11,27.04951489034748,2
1,mp_edge,attention,12,27.106185680322415,2
1,mp_edge,attention,13,27.137811382258775,2
1,mp_edge,attention,14,27.094443023798053,2
1,mp_edge,attention,15,27.106561052853195,2
1,mp_edge,mlp,0,1.8710917563383984,2
1,mp_edge,mlp,1,1.8697536188798047,2
1,mp_edge,mlp,2,1.8738760305863267,2
1,mp_edge,mlp,3,1.870609869332025,2
1,mp_edge,mlp,4,1.8718770065385764,2
1,mp_edge,mlp,5,1.8692454307834627,2
1,mp_edge,mlp,6,1.8706974269938326,2
1,mp_edge,mlp,7,1.8719643520879785,2
1,mp_edge,mlp,8,1.8702777775997088,2
1,mp_edge,mlp,9,1.8717927382431985,2
1,mp_edge,mlp,10,1.8713817933062538,2
1,mp_edge,mlp,11,1.872637319779115,2
1,mp_edge,mlp,12,1.8699555637057137,2
1,mp_edge,mlp,13,1.8725597319144789,2
1,mp_edge,mlp,14,1.8706601539046106,2
1,mp_edge,mlp,15,1.8724038760000568,2
1,mp_outliers_x1,attention,0,0.0,2
1,mp_outliers_x1,attention,1,0.0,2
1,mp_outliers_x1,attention,2,0.0,2
1,mp_outliers_x1,attention,3,0.0,2
1,mp_outliers_x1,attention,4,0.5,2
1,mp_outliers_x1,attention,5,0.0,2
1,mp_outliers_x1,attention,6,0.0,2
1,mp_outliers_x1,attention,7,0.5,2
1,mp_outliers_x1,attention,8,0.0,2
1,mp_outliers_x1,attention,9,0.0,2
1,mp_outliers_x1,attention,10,0.0,2
1,mp_outliers_x1,attention,11,0.0,2
1,mp_outliers_x1,attention,12,0.0,2
1,mp_outliers_x1,attention,13,0.0,2
1,mp_outliers_x1,attention,14,0.0,2
1,mp_outliers_x1,attention,15,0.0,2
1,mp_outliers_x1,mlp,0,0.0,2
1,mp_outliers_x1,mlp,1,0.0,2
1,mp_outliers_x1,mlp,2,0.0,2
1,mp_outliers_x1,mlp,3,0.0,2
1,mp_outliers_x1,mlp,4,0.0,2
1,mp_outliers_x1,mlp,5,0.0,2
1,mp_outliers_x1,mlp,6,0.0,2
1,mp_outliers_x1,mlp,7,0.0,2
1,mp_outliers_x1,mlp,8,1.0,2
1,mp_outliers_x1,mlp,9,0.5,2
1,mp_outliers_x1,mlp,10,0.0,2
1,mp_outliers_x1,mlp,11,0.0,2
1,mp_outliers_x1,mlp,12,0.0,2
1,mp_outliers_x1,mlp,13,0.0,2
1,mp_outliers_x1,mlp,14,0.0,2
1,mp_outliers_x1,mlp,15,0.0,2
1,mp_outliers_x1.1,attention,0,0.0,2
1,mp_outliers_x1.1,attention,1,0.0,2
1,mp_outliers_x1.1,attention,2,0.0,2
1,mp_outliers_x1.1,attention,3,0.0,2
1,mp_outliers_x1.1,attention,4,0.0,2
1,mp_outliers_x1.1,attention,5,0.0,2
1,mp_outliers_x1.1,attention,6,0.0,2
1,mp_outliers_x1.1,attention,7,0.0,2
1,mp_outliers_x1.1,attention,8,0.0,2
1,mp_outliers_x1.1,attention,9,0.0,2
1,mp_outliers_x1.1,attention,10,0.0,2
1,mp_outliers_x1.1,attention,11,0.0,2
1,mp_outliers_x1.1,attention,12,0.0,2
1,mp_outliers_x1.1,attention,13,0.0,2
1,mp_outliers_x1.1,attention,14,0.0,2
1,mp_outliers_x1.1,attention,15,0.0,2
1,mp_outliers_x1.1,mlp,0,0.0,2
1,mp_outliers_x1.1,mlp,1,0.0,2
1,mp_outliers_x1.1,mlp,2,0.0,2
1,mp_outliers_x1.1,mlp,3,0.0,2
1,mp_outliers_x1.1,mlp,4,0.0,2
1,mp_outliers_x1.1,mlp,5,0.0,2
1,mp_outliers_x1.1,mlp,6,0.0,2
1,mp_outliers_x1.1,mlp,7,0.0,2
1,mp_outliers_x1.1,mlp,8,0.0,2
1,mp_outliers_x1.1,mlp,9,0.0,2
1,mp_outliers_x1.1,mlp,10,0.0,2
1,mp_outliers_x1.1,mlp,11,0.0,2
1,mp_outliers_x1.1,mlp,12,0.0,2
1,mp_outliers_x1.1,mlp,13,0.0,2
1,mp_outliers_x1.1,mlp,14,0.0,2
1,mp_outliers_x1.1,mlp,15,0.0,2
1,mp_outliers_x1.25,attention,0,0.0,2
1,mp_outliers_x1.25,attention,1,0.0,2
1,mp_outliers_x1.25,attention,2,0.0,2
1,mp_outliers_x1.25,attention,3,0.0,2
1,mp_outliers_x1.25,attention,4,0.0,2
1,mp_outliers_x1.25,attention,5,0.0,2
1,mp_outliers_x1.25,attention,6,0.0,2
1,mp_outliers_x1.25,attention,7,0.0,2
1,mp_outliers_x1.25,attention,8,0.0,2
1,mp_outliers_x1.25,attention,9,0.0,2
1,mp_outliers_x1.25,attention,10,0.0,2
1,mp_outliers_x1.25,attention,11,0.0,2
1,mp_outliers_x1.25,attention,12,0.0,2
1,mp_outliers_x1.25,attention,13,0.0,2
1,mp_outliers_x1.25,attention,14,0.0,2
1,mp_outliers_x1.25,attention,15,0.0,2
1,mp_outliers_x1.25,mlp,0,0.0,2
1,mp_outliers_x1.25,mlp,1,0.0,2
1,mp_outliers_x1.25,mlp,2,0.0,2
1,mp_outliers_x1.25,mlp,3,0.0,2
1,mp_outliers_x1.25,mlp,4,0.0,2
1,mp_outliers_x1.25,mlp,5,0.0,2
1,mp_outliers_x1.25,mlp,6,0.0,2
1,mp_outliers_x1.25,mlp,7,0.0,2
1,mp_outliers_x1.25,mlp,8,0.0,2
1,mp_outliers_x1.25,mlp,9,0.0,2
1,mp_outliers_x1.25,mlp,10,0.0,2
1,mp_outliers_x1.25,mlp,11,0.0,2
1,mp_outliers_x1.25,mlp,12,0.0,2
1,mp_outliers_x1.25,mlp,13,0.0,2
1,mp_outliers_x1.25,mlp,14,0.0,2
1,mp_outliers_x1.25,mlp,15,0.0,2
1,nuclear_norm,attention,0,1181.941534747717,2
1,nuclear_norm,attention,1,1181.4973533684317,2
1,nuclear_norm,attention,2,1181.8143864035337,2
1,nuclear_norm,attention,3,1182.0380599295986,2
1,nuclear_norm,attention,4,1181.8150278913517,2
1,nuclear_norm,attention,5,1181.423319595201,2
1,nuclear_norm,attention,6,1181.8631654239816,2
1,nuclear_norm,attention,7,1181.783220889367,2
1,nuclear_norm,attention,8,1181.9561530795836,2
1,nuclear_norm,attention,9,1181.9908334292559,2
1,nuclear_norm,attention,10,1181.5721670526623,2
1,nuclear_norm,attention,11,1182.0795222869865,2
1,nuclear_norm,attention,12,1181.742014236049,2
1,nuclear_norm,attention,13,1181.352142875989,2
1,nuclear_norm,attention,14,1181.6491395349606,2
1,nuclear_norm,attention,15,1181.2990853539015,2
1,nuclear_norm,mlp,0,1501.0768323019147,2
1,nuclear_norm,mlp,1,1501.0556727200747,2
1,nuclear_norm,mlp,2,1501.7181556597352,2
1,nuclear_norm,mlp,3,1501.2577593773603,2
1,nuclear_norm,mlp,4,1501.680444061756,2
1,nuclear_norm,mlp,5,1501.182045392692,2
1,nuclear_norm,mlp,6,1501.34643638134,2
1,nuclear_norm,mlp,7,1501.7525692954657,2
1,nuclear_norm,mlp,8,1501.4119673445823,2
1,nuclear_norm,mlp,9,1501.8441339060664,2
1,nuclear_norm,mlp,10,1501.8000457584858,2
1,nuclear_norm,mlp,11,1501.922993697226,2
1,nuclear_norm,mlp,12,1501.5206703431904,2
1,nuclear_norm,mlp,13,1501.314476657659,2
1,nuclear_norm,mlp,14,1501.5351867675781,2
1,nuclear_norm,mlp,15,1501.3141474351287,2
1,num_singular_values,attention,0,2048.0,2
1,num_singular_values,attention,1,2048.0,2
1,num_singular_values,attention,2,2048.0,2
1,num_singular_values,attention,3,2048.0,2
1,num_singular_values,attention,4,2048.0,2
1,num_singular_values,attention,5,2048.0,2
1,num_singular_values,attention,6,2048.0,2
1,num_singular_values,attention,7,2048.0,2
1,num_singular_values,attention,8,2048.0,2
1,num_singular_values,attention,9,2048.0,2
1,num_singular_values,attention,10,2048.0,2
1,num_singular_values,attention,11,2048.0,2
1,num_singular_values,attention,12,2048.0,2
1,num_singular_values,attention,13,2048.0,2
1,num_singular_values,attention,14,2048.0,2
1,num_singular_values,attention,15,2048.0,2
1,num_singular_values,mlp,0,2048.0,2
1,num_singular_values,mlp,1,2048.0,2
1,num_singular_values,mlp,2,2048.0,2
1,num_singular_values,mlp,3,2048.0,2
1,num_singular_values,mlp,4,2048.0,2
1,num_singular_values,mlp,5,2048.0,2
1,num_singular_values,mlp,6,2048.0,2
1,num_singular_values,mlp,7,2048.0,2
1,num_singular_values,mlp,8,2048.0,2
1,num_singular_values,mlp,9,2048.0,2
1,num_singular_values,mlp,10,2048.0,2
1,num_singular_values,mlp,11,2048.0,2
1,num_singular_values,mlp,12,2048.0,2
1,num_singular_values,mlp,13,2048.0,2
1,num_singular_values,mlp,14,2048.0,2
1,num_singular_values,mlp,15,2048.0,2
1,rows,attention,0,4096.0,2
1,rows,attention,1,4096.0,2
1,rows,attention,2,4096.0,2
1,rows,attention,3,4096.0,2
1,rows,attention,4,4096.0,2
1,rows,attention,5,4096.0,2
1,rows,attention,6,4096.0,2
1,rows,attention,7,4096.0,2
1,rows,attention,8,4096.0,2
1,rows,attention,9,4096.0,2
1,rows,attention,10,4096.0,2
1,rows,attention,11,4096.0,2
1,rows,attention,12,4096.0,2
1,rows,attention,13,4096.0,2
1,rows,attention,14,4096.0,2
1,rows,attention,15,4096.0,2
1,rows,mlp,0,5120.0,2
1,rows,mlp,1,5120.0,2
1,rows,mlp,2,5120.0,2
1,rows,mlp,3,5120.0,2
1,rows,mlp,4,5120.0,2
1,rows,mlp,5,5120.0,2
1,rows,mlp,6,5120.0,2
1,rows,mlp,7,5120.0,2
1,rows,mlp,8,5120.0,2
1,rows,mlp,9,5120.0,2
1,rows,mlp,10,5120.0,2
1,rows,mlp,11,5120.0,2
1,rows,mlp,12,5120.0,2
1,rows,mlp,13,5120.0,2
1,rows,mlp,14,5120.0,2
1,rows,mlp,15,5120.0,2
1,spectral_norm,attention,0,0.9874298125505447,2
1,spectral_norm,attention,1,0.9888534098863602,2
1,spectral_norm,attention,2,0.987675279378891,2
1,spectral_norm,attention,3,0.9880430623888969,2
1,spectral_norm,attention,4,0.989436499774456,2
1,spectral_norm,attention,5,0.9876915290951728,2
1,spectral_norm,attention,6,0.9869712516665459,2
1,spectral_norm,attention,7,0.9890443384647369,2
1,spectral_norm,attention,8,0.9848575741052628,2
1,spectral_norm,attention,9,0.9889006167650224,2
1,spectral_norm,attention,10,0.9871970862150192,2
1,spectral_norm,attention,11,0.9869646653532982,2
1,spectral_norm,attention,12,0.9873269349336624,2
1,spectral_norm,attention,13,0.9883510917425156,2
1,spectral_norm,attention,14,0.9872191101312637,2
1,spectral_norm,attention,15,0.9865111410617828,2
1,spectral_norm,mlp,0,1.1362115442752838,2
1,spectral_norm,mlp,1,1.1335548758506775,2
1,spectral_norm,mlp,2,1.1333275884389877,2
1,spectral_norm,mlp,3,1.134259581565857,2
1,spectral_norm,mlp,4,1.1331757307052612,2
1,spectral_norm,mlp,5,1.1335508078336716,2
1,spectral_norm,mlp,6,1.133038341999054,2
1,spectral_norm,mlp,7,1.1323793232440948,2
1,spectral_norm,mlp,8,1.1365037262439726,2
1,spectral_norm,mlp,9,1.1363501399755478,2
1,spectral_norm,mlp,10,1.1345935761928558,2
1,spectral_norm,mlp,11,1.1349580436944962,2
1,spectral_norm,mlp,12,1.1341689079999924,2
1,spectral_norm,mlp,13,1.132676288485527,2
1,spectral_norm,mlp,14,1.1355715692043307,2
1,spectral_norm,mlp,15,1.1360634118318558,2
1,stable_rank,attention,0,670.7673231789879,2
1,stable_rank,attention,1,667.0432585047727,2
1,stable_rank,attention,2,667.1840072710926,2
1,stable_rank,attention,3,670.3422069966005,2
1,stable_rank,attention,4,669.388345606649,2
1,stable_rank,attention,5,669.1028726860545,2
1,stable_rank,attention,6,671.5360490991118,2
1,stable_rank,attention,7,669.8433859419774,2
1,stable_rank,attention,8,673.8253661368392,2
1,stable_rank,attention,9,668.4964517469018,2
1,stable_rank,attention,10,670.6070805400502,2
1,stable_rank,attention,11,670.8491589809178,2
1,stable_rank,attention,12,669.8878454390115,2
1,stable_rank,attention,13,668.2106461195576,2
1,stable_rank,attention,14,670.5154345884935,2
1,stable_rank,attention,15,670.7590888106636,2
1,stable_rank,mlp,0,910.241614322613,2
1,stable_rank,mlp,1,915.0089420826293,2
1,stable_rank,mlp,2,914.236243300974,2
1,stable_rank,mlp,3,912.0949913341349,2
1,stable_rank,mlp,4,913.9922172394579,2
1,stable_rank,mlp,5,914.4507578214325,2
1,stable_rank,mlp,6,915.9298420471619,2
1,stable_rank,mlp,7,915.8558574483967,2
1,stable_rank,mlp,8,909.541994454103,2
1,stable_rank,mlp,9,912.376100425629,2
1,stable_rank,mlp,10,914.5480110074054,2
1,stable_rank,mlp,11,912.6714396220156,2
1,stable_rank,mlp,12,913.3524023014487,2
1,stable_rank,mlp,13,914.2882210024768,2
1,stable_rank,mlp,14,912.5680819801901,2
1,stable_rank,mlp,15,912.3140249559477,2
1,subspace_stability_topk,attention,0,0.9996132552623749,2
1,subspace_stability_topk,attention,1,0.9996214509010316,2
1,subspace_stability_topk,attention,2,0.9995603561401367,2
1,subspace_stability_topk,attention,3,0.9995304346084595,2
1,subspace_stability_topk,attention,4,0.9996042847633362,2
1,subspace_stability_topk,attention,5,0.9996470510959625,2
1,subspace_stability_topk,attention,6,0.9996140599250793,2
1,subspace_stability_topk,attention,7,0.9995733797550201,2
