outcome,model_kind,break_step,include_uptake,n,p,rss,aic,bic,rmse,loocv_rmse,delta_aic,delta_bic
normalized_degradation_auc_margin,free_break_candidate_segmented,8000,False,30,3,0.026865627301310493,-204.54314959810753,-200.33955745312107,0.029925255388111277,0.03322809418958899,14.902789211758972,14.902789211758972
normalized_degradation_auc_margin,fixed_break_segmented,2000,False,30,3,0.02743064627340798,-203.91875385444376,-199.7151617094573,0.030238301469829053,0.033394673488284045,15.52718495542274,15.52718495542274
normalized_degradation_auc_margin,free_break_candidate_segmented,2000,False,30,3,0.02743064627340798,-203.91875385444376,-199.7151617094573,0.030238301469829053,0.033394673488284045,15.52718495542274,15.52718495542274
normalized_degradation_auc_margin,fixed_break_segmented,3000,False,30,3,0.029171407049838664,-202.07290925195832,-197.86931710697186,0.031183011961557244,0.034602128570091276,17.373029557908183,17.373029557908183
normalized_degradation_auc_margin,free_break_candidate_segmented,3000,False,30,3,0.029171407049838664,-202.07290925195832,-197.86931710697186,0.031183011961557244,0.034602128570091276,17.373029557908183,17.373029557908183
normalized_degradation_auc_margin,monotone_log_step,,False,30,2,0.04384962417704563,-191.84559537535193,-189.04320061202762,0.03823158562281788,0.0414748442022527,27.60034343451457,26.199146052852427
normalized_degradation_auc_margin,free_break_candidate_segmented,512,False,30,3,0.043849624177045646,-189.84559537535193,-185.64200323036548,0.03823158562281788,0.04147484420225273,29.60034343451457,29.60034343451457
normalized_degradation_auc_margin,window_indicator,,False,30,3,0.1907780093856218,-145.73526489194364,-141.53167274695718,0.07974501225481584,0.08781554999437827,73.71067391792286,73.71067391792286
normalized_degradation_auc_margin,fixed_break_segmented,1000,True,30,4,0.013419384777656328,-223.3675712153017,-217.76278168865306,0.021149771297153015,0.023614427334252865,0.0,0.0
normalized_degradation_auc_margin,free_break_candidate_segmented,1000,True,30,4,0.013419384777656328,-223.3675712153017,-217.76278168865306,0.021149771297153015,0.023614427334252865,0.0,0.0
normalized_degradation_auc_margin,quadratic_log_step,,True,30,4,0.019884267828874966,-211.57071408806024,-205.9659245614116,0.025745075793812796,0.0294875499789089,11.796857127241452,11.796857127241452
normalized_degradation_auc_margin,free_break_candidate_segmented,8000,True,30,4,0.02061414487684292,-210.48925527922904,-204.8844657525804,0.026213320326914532,0.03056386732681794,12.878315936072653,12.878315936072653
normalized_degradation_auc_margin,fixed_break_segmented,2000,True,30,4,0.021363121279140158,-209.4185958978185,-203.81380637116987,0.0266852776383909,0.031123174978768275,13.948975317483189,13.948975317483189
normalized_degradation_auc_margin,free_break_candidate_segmented,2000,True,30,4,0.021363121279140158,-209.4185958978185,-203.81380637116987,0.0266852776383909,0.031123174978768275,13.948975317483189,13.948975317483189
normalized_degradation_auc_margin,monotone_log_step,,True,30,3,0.02382899490499944,-208.14148644421002,-203.93789429922356,0.028183325392271367,0.0334344876254142,15.226084771091678,13.824887389429506
