model,stage,step,seed,metric,value
EleutherAI/pythia-160m-deduped,step8000,8000,1,normalized_retention_accuracy,0.2631578947368421
EleutherAI/pythia-160m-deduped,step8000,8000,1,k_star_accuracy_threshold,201.14285714285708
EleutherAI/pythia-160m-deduped,step8000,8000,1,degradation_auc_accuracy,143.45999999999998
EleutherAI/pythia-160m-deduped,step8000,8000,1,degradation_auc_margin,44.01861130237579
EleutherAI/pythia-160m-deduped,step143000,143000,0,base_probe_accuracy,0.24
EleutherAI/pythia-160m-deduped,step143000,143000,0,post_injection_accuracy,0.99
EleutherAI/pythia-160m-deduped,step143000,143000,0,uptake_accuracy_delta,0.75
EleutherAI/pythia-160m-deduped,step143000,143000,0,base_probe_mean_margin,-1.2561064064502716
EleutherAI/pythia-160m-deduped,step143000,143000,0,post_injection_mean_margin,5.581912232658797
EleutherAI/pythia-160m-deduped,step143000,143000,0,uptake_margin_delta,6.838018639109069
EleutherAI/pythia-160m-deduped,step143000,143000,0,normalized_retention_margin,0.2215406630437451
EleutherAI/pythia-160m-deduped,step143000,143000,0,normalized_retention_accuracy,0.4533333333333333
EleutherAI/pythia-160m-deduped,step143000,143000,0,k_star_accuracy_threshold,194.06451612903223
EleutherAI/pythia-160m-deduped,step143000,143000,0,degradation_auc_accuracy,151.07999999999998
EleutherAI/pythia-160m-deduped,step143000,143000,0,degradation_auc_margin,71.06201461770893
EleutherAI/pythia-160m-deduped,step143000,143000,1,base_probe_accuracy,0.275
EleutherAI/pythia-160m-deduped,step143000,143000,1,post_injection_accuracy,0.985
EleutherAI/pythia-160m-deduped,step143000,143000,1,uptake_accuracy_delta,0.71
EleutherAI/pythia-160m-deduped,step143000,143000,1,base_probe_mean_margin,-1.261992826461792
EleutherAI/pythia-160m-deduped,step143000,143000,1,post_injection_mean_margin,5.263684836773027
EleutherAI/pythia-160m-deduped,step143000,143000,1,uptake_margin_delta,6.525677663234819
EleutherAI/pythia-160m-deduped,step143000,143000,1,normalized_retention_margin,0.2147203694739458
EleutherAI/pythia-160m-deduped,step143000,143000,1,normalized_retention_accuracy,0.3732394366197183
EleutherAI/pythia-160m-deduped,step143000,143000,1,k_star_accuracy_threshold,184.5581395348837
EleutherAI/pythia-160m-deduped,step143000,143000,1,degradation_auc_accuracy,154.12
EleutherAI/pythia-160m-deduped,step143000,143000,1,degradation_auc_margin,88.4610313186195
