model,module,metric,from_step,to_step,abs_delta,rel_delta,abs_rel_delta
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,subspace_stability_topk,16000,64000,-0.12997796138127637,-0.14701265821374335,0.14701265821374335
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,subspace_stability_topk,64000,143000,0.07051911950111389,0.09350811537761783,0.09350811537761783
EleutherAI/pythia-70m-deduped,attention.dense,mp_outliers,0,128,0.0,0.0,0.0
EleutherAI/pythia-70m-deduped,attention.dense,mp_outliers,128,512,0.0,0.0,0.0
EleutherAI/pythia-70m-deduped,attention.dense,mp_outliers,512,1000,0.0,0.0,0.0
EleutherAI/pythia-70m-deduped,attention.dense,mp_outliers,1000,2000,0.0,0.0,0.0
EleutherAI/pythia-70m-deduped,attention.dense,mp_outliers,2000,3000,0.0,0.0,0.0
EleutherAI/pythia-70m-deduped,attention.dense,mp_outliers,3000,8000,0.0,0.0,0.0
EleutherAI/pythia-70m-deduped,attention.dense,mp_outliers,8000,16000,0.0,0.0,0.0
EleutherAI/pythia-70m-deduped,attention.dense,mp_outliers,16000,64000,0.0,0.0,0.0
EleutherAI/pythia-70m-deduped,attention.dense,mp_outliers,64000,143000,0.0,0.0,0.0
EleutherAI/pythia-70m-deduped,attention.query_key_value,mp_outliers,0,128,1.1666666666666665,6.999999999957999,6.999999999957999
EleutherAI/pythia-70m-deduped,attention.query_key_value,mp_outliers,128,512,6.833333333333333,5.124999999996156,5.124999999996156
EleutherAI/pythia-70m-deduped,attention.query_key_value,mp_outliers,512,1000,16.0,1.959183673469148,1.959183673469148
EleutherAI/pythia-70m-deduped,attention.query_key_value,mp_outliers,1000,2000,26.166666666666668,1.0827586206896105,1.0827586206896105
EleutherAI/pythia-70m-deduped,attention.query_key_value,mp_outliers,2000,3000,12.333333333333329,0.24503311258277646,0.24503311258277646
EleutherAI/pythia-70m-deduped,attention.query_key_value,mp_outliers,3000,8000,3.500000000000007,0.055851063829786454,0.055851063829786454
EleutherAI/pythia-70m-deduped,attention.query_key_value,mp_outliers,8000,16000,0.8333333333333286,0.012594458438286892,0.012594458438286892
EleutherAI/pythia-70m-deduped,attention.query_key_value,mp_outliers,16000,64000,33.33333333333333,0.4975124378109378,0.4975124378109378
EleutherAI/pythia-70m-deduped,attention.query_key_value,mp_outliers,64000,143000,12.333333333333343,0.12292358803986599,0.12292358803986599
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,mp_outliers,0,128,1.5,8.999999999946,8.999999999946
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,mp_outliers,128,512,3.666666666666666,2.1999999999986795,2.1999999999986795
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,mp_outliers,512,1000,12.0,2.249999999999578,2.249999999999578
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,mp_outliers,1000,2000,24.500000000000004,1.4134615384614573,1.4134615384614573
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,mp_outliers,2000,3000,2.0,0.0478087649402379,0.0478087649402379
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,mp_outliers,3000,8000,1.0,0.022813688212927234,0.022813688212927234
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,mp_outliers,8000,16000,1.0,0.022304832713754146,0.022304832713754146
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,mp_outliers,16000,64000,1.6666666666666643,0.036363636363635515,0.036363636363635515
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,mp_outliers,64000,143000,7.666666666666664,0.16140350877192636,0.16140350877192636
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,mp_outliers,0,128,0.33333333333333337,1.9999999999880003,1.9999999999880003
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,mp_outliers,128,512,1.6666666666666665,3.3333333333266664,3.3333333333266664
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,mp_outliers,512,1000,6.333333333333334,2.923076923075574,2.923076923075574
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,mp_outliers,1000,2000,24.166666666666664,2.843137254901626,2.843137254901626
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,mp_outliers,2000,3000,12.166666666666671,0.3724489795918255,0.3724489795918255
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,mp_outliers,3000,8000,10.0,0.22304832713754147,0.22304832713754147
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,mp_outliers,8000,16000,0.1666666666666643,0.0030395136778114513,0.0030395136778114513
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,mp_outliers,16000,64000,-1.5,-0.027272727272726775,0.027272727272726775
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,mp_outliers,64000,143000,1.3333333333333357,0.02492211838006188,0.02492211838006188
EleutherAI/pythia-70m-deduped,attention.dense,alpha,0,128,-0.007621277314794561,-0.002559083958737657,0.002559083958737657
EleutherAI/pythia-70m-deduped,attention.dense,alpha,128,512,-0.15697778402858287,-0.05284547240767836,0.05284547240767836
EleutherAI/pythia-70m-deduped,attention.dense,alpha,512,1000,-0.684984786397111,-0.24346115428828885,0.24346115428828885
EleutherAI/pythia-70m-deduped,attention.dense,alpha,1000,2000,-0.24753721120976802,-0.1162941884130374,0.1162941884130374
EleutherAI/pythia-70m-deduped,attention.dense,alpha,2000,3000,0.21205826814179818,0.11273662197998037,0.11273662197998037
EleutherAI/pythia-70m-deduped,attention.dense,alpha,3000,8000,0.2907073753729037,0.13889079885390845,0.13889079885390845
EleutherAI/pythia-70m-deduped,attention.dense,alpha,8000,16000,0.047521613164295484,0.019935471701702262,0.019935471701702262
EleutherAI/pythia-70m-deduped,attention.dense,alpha,16000,64000,-0.26203055882096615,-0.10777414554075095,0.10777414554075095
EleutherAI/pythia-70m-deduped,attention.dense,alpha,64000,143000,-0.0660483269670551,-0.03044736143384241,0.03044736143384241
EleutherAI/pythia-70m-deduped,attention.query_key_value,alpha,0,128,-0.04528495595487314,-0.00916982860059186,0.00916982860059186
EleutherAI/pythia-70m-deduped,attention.query_key_value,alpha,128,512,-1.4127407363003237,-0.2887157751297741,0.2887157751297741
EleutherAI/pythia-70m-deduped,attention.query_key_value,alpha,512,1000,-0.8563303633113373,-0.24604027975072287,0.24604027975072287
EleutherAI/pythia-70m-deduped,attention.query_key_value,alpha,1000,2000,-0.6008694503365,-0.22897962945231518,0.22897962945231518
EleutherAI/pythia-70m-deduped,attention.query_key_value,alpha,2000,3000,-0.02259888505686103,-0.011169606801434317,0.011169606801434317
EleutherAI/pythia-70m-deduped,attention.query_key_value,alpha,3000,8000,0.20787316295564828,0.1039028570056808,0.1039028570056808
EleutherAI/pythia-70m-deduped,attention.query_key_value,alpha,8000,16000,0.18672670370542122,0.08454825304718953,0.08454825304718953
EleutherAI/pythia-70m-deduped,attention.query_key_value,alpha,16000,64000,-0.618036106537865,-0.25802582580515343,0.25802582580515343
EleutherAI/pythia-70m-deduped,attention.query_key_value,alpha,64000,143000,0.035951487542120075,0.02022913926550482,0.02022913926550482
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,alpha,0,128,-0.06867947884651215,-0.012262173775400146,0.012262173775400146
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,alpha,128,512,-0.26347227543796414,-0.0476248599926728,0.0476248599926728
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,alpha,512,1000,-0.901954257983288,-0.17118876250017787,0.17118876250017787
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,alpha,1000,2000,-0.9422315449196099,-0.21577083804714414,0.21577083804714414
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,alpha,2000,3000,-0.1354809731817168,-0.03956128853251719,0.03956128853251719
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,alpha,3000,8000,-0.3881922622749161,-0.11802373079813537,0.11802373079813537
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,alpha,8000,16000,-0.06870298917015916,-0.023683244435223027,0.023683244435223027
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,alpha,16000,64000,-0.11841948578122663,-0.04181171606270686,0.04181171606270686
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,alpha,64000,143000,-0.2493475580260025,-0.0918817132660682,0.0918817132660682
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,alpha,0,128,-0.00812523619288541,-0.0014374723125352535,0.0014374723125352535
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,alpha,128,512,-0.12259326454399044,-0.02171975087084717,0.02171975087084717
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,alpha,512,1000,-0.9465673960196703,-0.17142591859904988,0.17142591859904988
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,alpha,1000,2000,-1.7238019068245025,-0.37677402680360383,0.37677402680360383
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,alpha,2000,3000,-0.3002083958864947,-0.10528606377353314,0.10528606377353314
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,alpha,3000,8000,-0.1870314813288183,-0.0733125907499114,0.0733125907499114
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,alpha,8000,16000,0.04369290471783005,0.018481682655255162,0.018481682655255162
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,alpha,16000,64000,0.2517245921467586,0.10454493918712943,0.10454493918712943
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,alpha,64000,143000,-0.121902677039468,-0.045836053888772765,0.045836053888772765
