model,module,metric,from_checkpoint,to_checkpoint,from_step,to_step,value_before,value_after,delta,relative_delta,transition_score
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1,step3000,step8000,3000,8000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1,step8000,step16000,8000,16000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1,step16000,step64000,16000,64000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1,step64000,step143000,64000,143000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.1,step0,step128,0,128,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.1,step128,step512,128,512,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.1,step512,step1000,512,1000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.1,step1000,step2000,1000,2000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.1,step2000,step3000,2000,3000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.1,step3000,step8000,3000,8000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.1,step8000,step16000,8000,16000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.1,step16000,step64000,16000,64000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.1,step64000,step143000,64000,143000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.25,step0,step128,0,128,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.25,step128,step512,128,512,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.25,step512,step1000,512,1000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.25,step1000,step2000,1000,2000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.25,step2000,step3000,2000,3000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.25,step3000,step8000,3000,8000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.25,step8000,step16000,8000,16000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.25,step16000,step64000,16000,64000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.25,step64000,step143000,64000,143000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,stable_rank,step0,step128,0,128,193.36225652023623,188.76007139065294,-4.60218512958329,-0.023800845172189285,0.02408866130716311
EleutherAI/pythia-160m-deduped,attention.dense,stable_rank,step128,step512,128,512,188.76007139065294,123.74166155274092,-65.01840983791202,-0.34445001720385876,0.42228072728012056
EleutherAI/pythia-160m-deduped,attention.dense,stable_rank,step512,step1000,512,1000,123.74166155274092,75.42535557731479,-48.31630597542613,-0.3904611055738318,0.49505251843615733
EleutherAI/pythia-160m-deduped,attention.dense,stable_rank,step1000,step2000,1000,2000,75.42535557731479,64.49212136878323,-10.933234208531559,-0.14495436083591867,0.15660043233071372
EleutherAI/pythia-160m-deduped,attention.dense,stable_rank,step2000,step3000,2000,3000,64.49212136878323,74.74182913718035,10.249707768397116,0.15892961110375856,0.14749683007480616
EleutherAI/pythia-160m-deduped,attention.dense,stable_rank,step3000,step8000,3000,8000,74.74182913718035,90.9839170565484,16.24208791936806,0.21730921101164793,0.1966428581604295
EleutherAI/pythia-160m-deduped,attention.dense,stable_rank,step8000,step16000,8000,16000,90.9839170565484,90.0075537750137,-0.9763632815347023,-0.010731163409109679,0.010789157613185317
EleutherAI/pythia-160m-deduped,attention.dense,stable_rank,step16000,step64000,16000,64000,90.0075537750137,81.7195898893721,-8.287963885641602,-0.0920807592033721,0.09659984619033793
EleutherAI/pythia-160m-deduped,attention.dense,stable_rank,step64000,step143000,64000,143000,81.7195898893721,45.88376360140375,-35.83582628796835,-0.43852185671123783,0.5771824311378084
EleutherAI/pythia-160m-deduped,attention.dense,subspace_stability_topk,step128,step512,128,512,0.9346950848897299,0.40932976578672725,-0.5253653191030025,-0.5620713402649188,0.5906702342132728
EleutherAI/pythia-160m-deduped,attention.dense,subspace_stability_topk,step512,step1000,512,1000,0.40932976578672725,0.4391362816095352,0.029806515822807966,0.07281785570985823,0.5608637183904648
EleutherAI/pythia-160m-deduped,attention.dense,subspace_stability_topk,step1000,step2000,1000,2000,0.4391362816095352,0.5405832827091217,0.10144700109958649,0.23101484743588016,0.4594167172908783
EleutherAI/pythia-160m-deduped,attention.dense,subspace_stability_topk,step2000,step3000,2000,3000,0.5405832827091217,0.8516135414441427,0.311030258735021,0.5753604831734703,0.1483864585558573
EleutherAI/pythia-160m-deduped,attention.dense,subspace_stability_topk,step3000,step8000,3000,8000,0.8516135414441427,0.6641477247079214,-0.1874658167362213,-0.22013015013631884,0.3358522752920786
EleutherAI/pythia-160m-deduped,attention.dense,subspace_stability_topk,step8000,step16000,8000,16000,0.6641477247079214,0.8292559583981832,0.16510823369026184,0.24860167030290298,0.17074404160181678
EleutherAI/pythia-160m-deduped,attention.dense,subspace_stability_topk,step16000,step64000,16000,64000,0.8292559583981832,0.6688092822829882,-0.16044667611519503,-0.19348269311820063,0.3311907177170118
EleutherAI/pythia-160m-deduped,attention.dense,subspace_stability_topk,step64000,step143000,64000,143000,0.6688092822829882,0.6791172524293264,0.010307970146338219,0.015412420879016278,0.3208827475706736
EleutherAI/pythia-160m-deduped,attention.query_key_value,alpha_tail_frac_0.3,step0,step128,0,128,4.9920681326983924,4.980640236498249,-0.011427896200143728,-0.0022892107832603917,0.0022918350320023386
EleutherAI/pythia-160m-deduped,attention.query_key_value,alpha_tail_frac_0.3,step128,step512,128,512,4.980640236498249,4.184572109609429,-0.7960681268888194,-0.15983248921598744,0.1741539894257712
EleutherAI/pythia-160m-deduped,attention.query_key_value,alpha_tail_frac_0.3,step512,step1000,512,1000,4.184572109609429,3.316025758168779,-0.8685463514406502,-0.20755917897701534,0.23263744980689688
EleutherAI/pythia-160m-deduped,attention.query_key_value,alpha_tail_frac_0.3,step1000,step2000,1000,2000,3.316025758168779,2.332427129841542,-0.9835986283272371,-0.2966197189223323,0.35185759306031783
EleutherAI/pythia-160m-deduped,attention.query_key_value,alpha_tail_frac_0.3,step2000,step3000,2000,3000,2.332427129841542,2.130847065994133,-0.201580063847409,-0.08642502107283573,0.09038982779430903
EleutherAI/pythia-160m-deduped,attention.query_key_value,alpha_tail_frac_0.3,step3000,step8000,3000,8000,2.130847065994133,2.132448129803401,0.0016010638092680551,0.0007513743406644198,0.0007510922002839132
EleutherAI/pythia-160m-deduped,attention.query_key_value,alpha_tail_frac_0.3,step8000,step16000,8000,16000,2.132448129803401,2.2288115138034326,0.09636338400003153,0.045189086971562424,0.04419781351867252
EleutherAI/pythia-160m-deduped,attention.query_key_value,alpha_tail_frac_0.3,step16000,step64000,16000,64000,2.2288115138034326,1.9501010784499797,-0.27871043535345286,-0.1250489032506108,0.13358728361560038
EleutherAI/pythia-160m-deduped,attention.query_key_value,alpha_tail_frac_0.3,step64000,step143000,64000,143000,1.9501010784499797,1.5260520796475883,-0.42404899880239144,-0.21744975349659462,0.24519714584533417
EleutherAI/pythia-160m-deduped,attention.query_key_value,effective_rank,step0,step128,0,128,732.3803781025653,732.3292863396285,-0.05109176293672135,-6.976123946560223e-05,6.97636728939992e-05
EleutherAI/pythia-160m-deduped,attention.query_key_value,effective_rank,step128,step512,128,512,732.3292863396285,730.2834279306154,-2.0458584090131353,-0.0027936318363544705,0.0027975413085546377
EleutherAI/pythia-160m-deduped,attention.query_key_value,effective_rank,step512,step1000,512,1000,730.2834279306154,725.6507344119577,-4.632693518657675,-0.006343692519197942,0.006363899238726831
EleutherAI/pythia-160m-deduped,attention.query_key_value,effective_rank,step1000,step2000,1000,2000,725.6507344119577,711.9207926865973,-13.72994172536039,-0.018920867952385744,0.01910215799352684
EleutherAI/pythia-160m-deduped,attention.query_key_value,effective_rank,step2000,step3000,2000,3000,711.9207926865973,702.104262942518,-9.81652974407939,-0.013788794827911193,0.013884743289421287
EleutherAI/pythia-160m-deduped,attention.query_key_value,effective_rank,step3000,step8000,3000,8000,702.104262942518,687.6830522223239,-14.42121072019404,-0.020539984559778582,0.020753863829204296
EleutherAI/pythia-160m-deduped,attention.query_key_value,effective_rank,step8000,step16000,8000,16000,687.6830522223239,686.8112114618274,-0.871840760496525,-0.0012677944551331825,0.0012685987864130709
EleutherAI/pythia-160m-deduped,attention.query_key_value,effective_rank,step16000,step64000,16000,64000,686.8112114618274,644.6440552903556,-42.16715617147179,-0.06139555596613236,0.06336114088567325
EleutherAI/pythia-160m-deduped,attention.query_key_value,effective_rank,step64000,step143000,64000,143000,644.6440552903556,556.6209414176554,-88.02311387270015,-0.13654529681973637,0.14681384000322148
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1,step0,step128,0,128,0.08333333333333333,0.5,0.4166666666666667,5.000000000000001,1.791759469218055
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1,step128,step512,128,512,0.5,6.916666666666667,6.416666666666667,12.833333333333334,2.6270811385666875
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1,step512,step1000,512,1000,6.916666666666667,20.166666666666668,13.25,1.9156626506024095,1.0700971183599934
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1,step1000,step2000,1000,2000,20.166666666666668,53.833333333333336,33.66666666666667,1.669421487603306,0.9818617776258846
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1,step2000,step3000,2000,3000,53.833333333333336,78.25,24.416666666666664,0.4535603715170278,0.3740159754256552
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1,step3000,step8000,3000,8000,78.25,110.08333333333333,31.83333333333333,0.40681576144834924,0.34132882531405867
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1,step8000,step16000,8000,16000,110.08333333333333,109.75,-0.3333333333333286,-0.003028009084027209,0.0030326027790442533
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1,step16000,step64000,16000,64000,109.75,132.66666666666666,22.916666666666657,0.20880789673500372,0.18963466466104562
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1,step64000,step143000,64000,143000,132.66666666666666,161.25,28.583333333333343,0.21545226130653275,0.19511623905955253
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.1,step0,step128,0,128,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.1,step128,step512,128,512,0.0,4.0,4.0,,29.01731547704869
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.1,step512,step1000,512,1000,4.0,13.916666666666666,9.916666666666666,2.4791666666666665,1.246792801508686
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.1,step1000,step2000,1000,2000,13.916666666666666,41.166666666666664,27.25,1.9580838323353293,1.0845417047711199
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.1,step2000,step3000,2000,3000,41.166666666666664,62.25,21.083333333333336,0.5121457489878544,0.4135296679448866
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.1,step3000,step8000,3000,8000,62.25,91.5,29.25,0.46987951807228917,0.3851804369366534
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.1,step8000,step16000,8000,16000,91.5,91.25,-0.25,-0.00273224043715847,0.0027359798188747488
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.1,step16000,step64000,16000,64000,91.25,113.5,22.25,0.24383561643835616,0.21819984445885435
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.1,step64000,step143000,64000,143000,113.5,144.16666666666666,30.666666666666657,0.27019089574155647,0.2391672007823651
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.25,step0,step128,0,128,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.25,step128,step512,128,512,0.0,3.0833333333333335,3.0833333333333335,,28.757032378785098
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.25,step512,step1000,512,1000,3.0833333333333335,9.583333333333334,6.5,2.108108108108108,1.1340142157188056
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.25,step1000,step2000,1000,2000,9.583333333333334,29.583333333333332,20.0,2.0869565217391304,1.1271856611120952
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.25,step2000,step3000,2000,3000,29.583333333333332,45.75,16.166666666666668,0.5464788732394367,0.435980652034103
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.25,step3000,step8000,3000,8000,45.75,69.33333333333333,23.58333333333333,0.5154826958105646,0.4157339993116704
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.25,step8000,step16000,8000,16000,69.33333333333333,69.08333333333333,-0.25,-0.003605769230769231,0.0036122856859135493
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.25,step16000,step64000,16000,64000,69.08333333333333,90.66666666666667,21.583333333333343,0.3124246079613994,0.27187627228058975
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.25,step64000,step143000,64000,143000,90.66666666666667,123.16666666666667,32.5,0.3584558823529412,0.3063486740922562
EleutherAI/pythia-160m-deduped,attention.query_key_value,stable_rank,step0,step128,0,128,311.3370787325542,307.59102843978445,-3.7460502927697235,-0.012032136705399193,0.01210510879304077
EleutherAI/pythia-160m-deduped,attention.query_key_value,stable_rank,step128,step512,128,512,307.59102843978445,116.27354296124598,-191.31748547853846,-0.6219865593901472,0.9728255268257627
EleutherAI/pythia-160m-deduped,attention.query_key_value,stable_rank,step512,step1000,512,1000,116.27354296124598,68.44161763601578,-47.8319253252302,-0.41137411062783735,0.5299644594878695
EleutherAI/pythia-160m-deduped,attention.query_key_value,stable_rank,step1000,step2000,1000,2000,68.44161763601578,32.332913653028996,-36.10870398298678,-0.5275840231453769,0.7498953746240791
EleutherAI/pythia-160m-deduped,attention.query_key_value,stable_rank,step2000,step3000,2000,3000,32.332913653028996,26.823364310975943,-5.509549342053052,-0.17040064502621494,0.1868123995818394
EleutherAI/pythia-160m-deduped,attention.query_key_value,stable_rank,step3000,step8000,3000,8000,26.823364310975943,28.057579419065917,1.2342151080899733,0.04601268855692873,0.04498549612071204
EleutherAI/pythia-160m-deduped,attention.query_key_value,stable_rank,step8000,step16000,8000,16000,28.057579419065917,36.650186708403474,8.592607289337558,0.3062490588015101,0.2671597161959872
EleutherAI/pythia-160m-deduped,attention.query_key_value,stable_rank,step16000,step64000,16000,64000,36.650186708403474,31.112650379869297,-5.537536328534177,-0.1510916266973473,0.1638040215777589
EleutherAI/pythia-160m-deduped,attention.query_key_value,stable_rank,step64000,step143000,64000,143000,31.112650379869297,15.985100799228467,-15.12754958064083,-0.48621860869907607,0.665957412749428
EleutherAI/pythia-160m-deduped,attention.query_key_value,subspace_stability_topk,step128,step512,128,512,0.940377747019132,0.4413525313138962,-0.49902521570523584,-0.5306646369366748,0.5586474686861038
EleutherAI/pythia-160m-deduped,attention.query_key_value,subspace_stability_topk,step512,step1000,512,1000,0.4413525313138962,0.6824166725079218,0.24106414119402564,0.546194083166088,0.3175833274920782
EleutherAI/pythia-160m-deduped,attention.query_key_value,subspace_stability_topk,step1000,step2000,1000,2000,0.6824166725079218,0.6809577345848083,-0.001458937923113468,-0.002137899002015564,0.31904226541519165
EleutherAI/pythia-160m-deduped,attention.query_key_value,subspace_stability_topk,step2000,step3000,2000,3000,0.6809577345848083,0.8846289416154226,0.20367120703061425,0.2990952252782562,0.1153710583845774
EleutherAI/pythia-160m-deduped,attention.query_key_value,subspace_stability_topk,step3000,step8000,3000,8000,0.8846289416154226,0.7906673153241476,-0.09396162629127502,-0.10621586279970845,0.20933268467585242
EleutherAI/pythia-160m-deduped,attention.query_key_value,subspace_stability_topk,step8000,step16000,8000,16000,0.7906673153241476,0.8802930265665054,0.08962571124235785,0.11335451650181627,0.11970697343349457
EleutherAI/pythia-160m-deduped,attention.query_key_value,subspace_stability_topk,step16000,step64000,16000,64000,0.8802930265665054,0.6440126945575079,-0.23628033200899756,-0.2684110005171633,0.35598730544249213
EleutherAI/pythia-160m-deduped,attention.query_key_value,subspace_stability_topk,step64000,step143000,64000,143000,0.6440126945575079,0.6851845855514208,0.04117189099391294,0.06393024755855406,0.3148154144485792
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,alpha_tail_frac_0.3,step0,step128,0,128,5.695098442202949,5.649660622869138,-0.0454378193338103,-0.007978408063519668,0.008010405869139838
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,alpha_tail_frac_0.3,step128,step512,128,512,5.649660622869138,5.152412575641033,-0.4972480472281058,-0.08801379063643332,0.09213041033399547
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,alpha_tail_frac_0.3,step512,step1000,512,1000,5.152412575641033,3.3605728438717057,-1.7918397317693269,-0.34776712956578343,0.42735361758032486
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,alpha_tail_frac_0.3,step1000,step2000,1000,2000,3.3605728438717057,2.808847772046279,-0.5517250718254267,-0.1641759001985465,0.17933709497208217
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,alpha_tail_frac_0.3,step2000,step3000,2000,3000,2.808847772046279,2.9355982749268947,0.12675050288061573,0.045125444013748205,0.04413692033069969
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,alpha_tail_frac_0.3,step3000,step8000,3000,8000,2.9355982749268947,3.047929023398624,0.11233074847172908,0.03826502741575785,0.037551077217138074
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,alpha_tail_frac_0.3,step8000,step16000,8000,16000,3.047929023398624,3.0413533367653183,-0.006575686633305544,-0.002157427742845947,0.002159758342748626
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,alpha_tail_frac_0.3,step16000,step64000,16000,64000,3.0413533367653183,3.015869893677659,-0.025483443087659374,-0.008378981415807054,0.008414282409809537
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,alpha_tail_frac_0.3,step64000,step143000,64000,143000,3.015869893677659,2.7036301510998952,-0.31223974257776366,-0.10353223235270519,0.10929294012782331
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,effective_rank,step0,step128,0,128,742.0310334227129,741.8634928700488,-0.1675405526640361,-0.00022578644978126308,0.00022581194337914845
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,effective_rank,step128,step512,128,512,741.8634928700488,740.502862809141,-1.3606300609078517,-0.0018340706531385974,0.0018357546200434426
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,effective_rank,step512,step1000,512,1000,740.502862809141,730.5026761767103,-10.000186632430655,-0.013504588752694838,0.013596605078886393
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,effective_rank,step1000,step2000,1000,2000,730.5026761767103,718.151313791467,-12.351362385243306,-0.01690803167195445,0.017052604383201022
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,effective_rank,step2000,step3000,2000,3000,718.151313791467,720.595780237254,2.4444664457869294,0.003403832032112303,0.003398052108074374
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,effective_rank,step3000,step8000,3000,8000,720.595780237254,722.9002803066895,2.304500069435562,0.0031980482437418832,0.0031929453640663673
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,effective_rank,step8000,step16000,8000,16000,722.9002803066895,722.0266238399098,-0.8736564667797211,-0.0012085435440820046,0.0012092744217552633
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,effective_rank,step16000,step64000,16000,64000,722.0266238399098,719.892496609248,-2.134127230661761,-0.002955745896615229,0.0029601227402038664
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,effective_rank,step64000,step143000,64000,143000,719.892496609248,713.6754916417249,-6.217004967523167,-0.008636018567780278,0.008673525070155862
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1,step0,step128,0,128,0.08333333333333333,1.5833333333333333,1.5,18.0,2.944438979155072
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1,step128,step512,128,512,1.5833333333333333,11.416666666666666,9.833333333333332,6.2105263157894735,1.9755419466611404
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1,step512,step1000,512,1000,11.416666666666666,54.333333333333336,42.91666666666667,3.7591240875912413,1.560063636098459
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1,step1000,step2000,1000,2000,54.333333333333336,88.25,33.916666666666664,0.6242331288343558,0.4850357836747463
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1,step2000,step3000,2000,3000,88.25,77.41666666666667,-10.833333333333329,-0.12275731822474027,0.1309716067875663
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1,step3000,step8000,3000,8000,77.41666666666667,64.25,-13.166666666666671,-0.17007534983853612,0.18642036525050643
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1,step8000,step16000,8000,16000,64.25,64.58333333333333,0.3333333333333286,0.0051880674448767095,0.005174655790017266
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1,step16000,step64000,16000,64000,64.58333333333333,65.25,0.6666666666666714,0.010322580645161365,0.010269666637456045
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1,step64000,step143000,64000,143000,65.25,73.33333333333333,8.083333333333329,0.12388250319284795,0.11678921148144734
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1.1,step0,step128,0,128,0.0,0.25,0.25,,26.244726754812657
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1.1,step128,step512,128,512,0.25,4.25,4.0,16.0,2.8332133440524516
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1.1,step512,step1000,512,1000,4.25,36.666666666666664,32.416666666666664,7.627450980392156,2.154949094187773
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1.1,step1000,step2000,1000,2000,36.666666666666664,67.5,30.833333333333336,0.840909090909091,0.6102595207541651
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1.1,step2000,step3000,2000,3000,67.5,57.5,-10.0,-0.14814814814814814,0.16034265007517665
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1.1,step3000,step8000,3000,8000,57.5,47.083333333333336,-10.416666666666664,-0.18115942028985504,0.19986586644486024
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1.1,step8000,step16000,8000,16000,47.083333333333336,47.083333333333336,0.0,0.0,0.0
