model,module,metric,from_checkpoint,to_checkpoint,from_step,to_step,value_before,value_after,delta,relative_delta,transition_score,rank_within_metric_module
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,effective_rank,step512,step1000,512,1000,740.502862809141,730.5026761767103,-10.000186632430655,-0.013504588752694838,0.013596605078886393,2
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,subspace_stability_topk,step512,step1000,512,1000,0.5075999697049459,0.6302498877048492,0.12264991799990332,0.24162711843973592,0.36975011229515076,2
EleutherAI/pythia-160m-deduped,mlp.dense_h_to_4h,alpha_tail_frac_0.3,step512,step1000,512,1000,5.645336734596667,4.717197857122959,-0.9281388774737085,-0.16440806299219274,0.17961489869066116,2
EleutherAI/pythia-160m-deduped,mlp.dense_h_to_4h,stable_rank,step512,step1000,512,1000,340.2576111246421,124.91399383503868,-215.3436172896034,-0.6328840568116474,1.0020775593261004,2
EleutherAI/pythia-160m-deduped,attention.query_key_value,stable_rank,step1000,step2000,1000,2000,68.44161763601578,32.332913653028996,-36.10870398298678,-0.5275840231453769,0.7498953746240791,2
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,alpha_tail_frac_0.3,step1000,step2000,1000,2000,3.3605728438717057,2.808847772046279,-0.5517250718254267,-0.1641759001985465,0.17933709497208217,2
EleutherAI/pythia-160m-deduped,mlp.dense_h_to_4h,effective_rank,step1000,step2000,1000,2000,740.3294794585007,730.0726663278025,-10.25681313069822,-0.013854389721452618,0.01395125751550021,2
EleutherAI/pythia-160m-deduped,mlp.dense_h_to_4h,mp_outliers_x1.1,step1000,step2000,1000,2000,4.25,32.666666666666664,28.416666666666664,6.686274509803921,2.039436207065932,2
EleutherAI/pythia-160m-deduped,mlp.dense_h_to_4h,mp_outliers_x1.25,step1000,step2000,1000,2000,1.3333333333333333,21.083333333333332,19.75,14.8125,2.760800766487036,2
EleutherAI/pythia-160m-deduped,mlp.dense_h_to_4h,subspace_stability_topk,step1000,step2000,1000,2000,0.5571050345897675,0.6916123777627945,0.13450734317302704,0.241439827001516,0.3083876222372055,2
EleutherAI/pythia-160m-deduped,attention.dense,alpha_tail_frac_0.3,step3000,step8000,3000,8000,1.7138951432616523,2.0319178956356545,0.31802275237400224,0.18555554791338316,0.1702114815312827,2
EleutherAI/pythia-160m-deduped,attention.query_key_value,effective_rank,step16000,step64000,16000,64000,686.8112114618274,644.6440552903556,-42.16715617147179,-0.06139555596613236,0.06336114088567325,2
EleutherAI/pythia-160m-deduped,attention.query_key_value,subspace_stability_topk,step16000,step64000,16000,64000,0.8802930265665054,0.6440126945575079,-0.23628033200899756,-0.2684110005171633,0.35598730544249213,2
EleutherAI/pythia-160m-deduped,attention.query_key_value,alpha_tail_frac_0.3,step64000,step143000,64000,143000,1.9501010784499797,1.5260520796475883,-0.42404899880239144,-0.21744975349659462,0.24519714584533417,2
