model,step_num,rows,modules,metrics,layers
EleutherAI/pythia-160m-deduped,109000,576,4,12,12
EleutherAI/pythia-160m-deduped,110000,576,4,12,12
EleutherAI/pythia-160m-deduped,111000,576,4,12,12
EleutherAI/pythia-160m-deduped,112000,576,4,12,12
EleutherAI/pythia-160m-deduped,113000,576,4,12,12
EleutherAI/pythia-160m-deduped,114000,576,4,12,12
EleutherAI/pythia-160m-deduped,115000,576,4,12,12
EleutherAI/pythia-160m-deduped,116000,576,4,12,12
EleutherAI/pythia-160m-deduped,117000,576,4,12,12
EleutherAI/pythia-160m-deduped,118000,576,4,12,12
EleutherAI/pythia-160m-deduped,119000,576,4,12,12
EleutherAI/pythia-160m-deduped,120000,576,4,12,12
EleutherAI/pythia-160m-deduped,121000,576,4,12,12
EleutherAI/pythia-160m-deduped,122000,576,4,12,12
EleutherAI/pythia-160m-deduped,123000,576,4,12,12
EleutherAI/pythia-160m-deduped,124000,576,4,12,12
EleutherAI/pythia-160m-deduped,125000,576,4,12,12
EleutherAI/pythia-160m-deduped,126000,576,4,12,12
EleutherAI/pythia-160m-deduped,127000,576,4,12,12
EleutherAI/pythia-160m-deduped,128000,576,4,12,12
EleutherAI/pythia-160m-deduped,129000,576,4,12,12
EleutherAI/pythia-160m-deduped,130000,576,4,12,12
EleutherAI/pythia-160m-deduped,131000,576,4,12,12
EleutherAI/pythia-160m-deduped,132000,576,4,12,12
EleutherAI/pythia-160m-deduped,133000,576,4,12,12
EleutherAI/pythia-160m-deduped,134000,576,4,12,12
EleutherAI/pythia-160m-deduped,135000,576,4,12,12
EleutherAI/pythia-160m-deduped,136000,576,4,12,12
EleutherAI/pythia-160m-deduped,137000,576,4,12,12
EleutherAI/pythia-160m-deduped,138000,576,4,12,12
EleutherAI/pythia-160m-deduped,139000,576,4,12,12
EleutherAI/pythia-160m-deduped,140000,576,4,12,12
EleutherAI/pythia-160m-deduped,141000,576,4,12,12
EleutherAI/pythia-160m-deduped,142000,576,4,12,12
EleutherAI/pythia-160m-deduped,143000,576,4,12,12
