model,step,step_num,layer,module,metric,value
EleutherAI/pythia-1b-deduped,0,0,8,attention.query_key_value,stable_rank,830.7405352104679
EleutherAI/pythia-1b-deduped,0,0,8,mlp.dense_4h_to_h,stable_rank,908.839085289888
EleutherAI/pythia-1b-deduped,0,0,8,mlp.dense_h_to_4h,stable_rank,910.2669786233472
EleutherAI/pythia-1b-deduped,0,0,9,attention.dense,stable_rank,513.1795444015298
EleutherAI/pythia-1b-deduped,0,0,9,attention.query_key_value,stable_rank,823.7665812861215
EleutherAI/pythia-1b-deduped,0,0,9,mlp.dense_4h_to_h,stable_rank,914.930214855618
EleutherAI/pythia-1b-deduped,0,0,9,mlp.dense_h_to_4h,stable_rank,909.8219756136032
EleutherAI/pythia-1b-deduped,0,0,10,attention.dense,stable_rank,515.3440190503968
EleutherAI/pythia-1b-deduped,0,0,10,attention.query_key_value,stable_rank,825.8763792008227
EleutherAI/pythia-1b-deduped,0,0,10,mlp.dense_4h_to_h,stable_rank,916.230476964738
EleutherAI/pythia-1b-deduped,0,0,10,mlp.dense_h_to_4h,stable_rank,912.9764325073108
EleutherAI/pythia-1b-deduped,0,0,11,attention.dense,stable_rank,514.3002124761587
EleutherAI/pythia-1b-deduped,0,0,11,attention.query_key_value,stable_rank,827.349217347238
EleutherAI/pythia-1b-deduped,0,0,11,mlp.dense_4h_to_h,stable_rank,911.947254754946
EleutherAI/pythia-1b-deduped,0,0,11,mlp.dense_h_to_4h,stable_rank,913.2894476833902
EleutherAI/pythia-1b-deduped,0,0,12,attention.dense,stable_rank,513.2763505948808
EleutherAI/pythia-1b-deduped,0,0,12,attention.query_key_value,stable_rank,826.4598861259441
EleutherAI/pythia-1b-deduped,0,0,12,mlp.dense_4h_to_h,stable_rank,912.5447036872235
EleutherAI/pythia-1b-deduped,0,0,12,mlp.dense_h_to_4h,stable_rank,914.091916655172
EleutherAI/pythia-1b-deduped,0,0,13,attention.dense,stable_rank,512.3862304612517
EleutherAI/pythia-1b-deduped,0,0,13,attention.query_key_value,stable_rank,824.0948270377539
EleutherAI/pythia-1b-deduped,0,0,13,mlp.dense_4h_to_h,stable_rank,911.568074135492
EleutherAI/pythia-1b-deduped,0,0,13,mlp.dense_h_to_4h,stable_rank,916.9196218805332
EleutherAI/pythia-1b-deduped,0,0,14,attention.dense,stable_rank,515.0146276885762
EleutherAI/pythia-1b-deduped,0,0,14,attention.query_key_value,stable_rank,825.9910392437721
EleutherAI/pythia-1b-deduped,0,0,14,mlp.dense_4h_to_h,stable_rank,913.9273783116764
EleutherAI/pythia-1b-deduped,0,0,14,mlp.dense_h_to_4h,stable_rank,911.1132456078336
EleutherAI/pythia-1b-deduped,0,0,15,attention.dense,stable_rank,514.4321259122703
EleutherAI/pythia-1b-deduped,0,0,15,attention.query_key_value,stable_rank,827.047191767411
EleutherAI/pythia-1b-deduped,0,0,15,mlp.dense_4h_to_h,stable_rank,914.78122045549
EleutherAI/pythia-1b-deduped,0,0,15,mlp.dense_h_to_4h,stable_rank,909.8272461157152
EleutherAI/pythia-1b-deduped,1,1,0,attention.dense,stable_rank,515.5674392927353
EleutherAI/pythia-1b-deduped,1,1,0,attention.query_key_value,stable_rank,825.9757046984741
EleutherAI/pythia-1b-deduped,1,1,0,mlp.dense_4h_to_h,stable_rank,910.4224772420548
EleutherAI/pythia-1b-deduped,1,1,0,mlp.dense_h_to_4h,stable_rank,909.9767083785442
EleutherAI/pythia-1b-deduped,1,1,1,attention.dense,stable_rank,510.2159787523554
EleutherAI/pythia-1b-deduped,1,1,1,attention.query_key_value,stable_rank,823.9066770384827
EleutherAI/pythia-1b-deduped,1,1,1,mlp.dense_4h_to_h,stable_rank,916.0011105970048
EleutherAI/pythia-1b-deduped,1,1,1,mlp.dense_h_to_4h,stable_rank,914.0353010367152
EleutherAI/pythia-1b-deduped,1,1,2,attention.dense,stable_rank,506.9988492053676
EleutherAI/pythia-1b-deduped,1,1,2,attention.query_key_value,stable_rank,827.3216641734191
EleutherAI/pythia-1b-deduped,1,1,2,mlp.dense_4h_to_h,stable_rank,912.5123001516436
EleutherAI/pythia-1b-deduped,1,1,2,mlp.dense_h_to_4h,stable_rank,916.0410994401268
EleutherAI/pythia-1b-deduped,1,1,3,attention.dense,stable_rank,515.6774952005433
EleutherAI/pythia-1b-deduped,1,1,3,attention.query_key_value,stable_rank,825.0859837486131
EleutherAI/pythia-1b-deduped,1,1,3,mlp.dense_4h_to_h,stable_rank,910.0323600202244
EleutherAI/pythia-1b-deduped,1,1,3,mlp.dense_h_to_4h,stable_rank,914.191752809374
EleutherAI/pythia-1b-deduped,1,1,4,attention.dense,stable_rank,517.351471662614
EleutherAI/pythia-1b-deduped,1,1,4,attention.query_key_value,stable_rank,821.484113939577
EleutherAI/pythia-1b-deduped,1,1,4,mlp.dense_4h_to_h,stable_rank,911.4960591507564
EleutherAI/pythia-1b-deduped,1,1,4,mlp.dense_h_to_4h,stable_rank,916.4705256386744
EleutherAI/pythia-1b-deduped,1,1,5,attention.dense,stable_rank,513.0083365788446
EleutherAI/pythia-1b-deduped,1,1,5,attention.query_key_value,stable_rank,825.2835835874903
EleutherAI/pythia-1b-deduped,1,1,5,mlp.dense_4h_to_h,stable_rank,914.2735787330593
EleutherAI/pythia-1b-deduped,1,1,5,mlp.dense_h_to_4h,stable_rank,914.7162977526532
EleutherAI/pythia-1b-deduped,1,1,6,attention.dense,stable_rank,516.4397087927356
EleutherAI/pythia-1b-deduped,1,1,6,attention.query_key_value,stable_rank,826.6443126905008
EleutherAI/pythia-1b-deduped,1,1,6,mlp.dense_4h_to_h,stable_rank,916.6198516398762
EleutherAI/pythia-1b-deduped,1,1,6,mlp.dense_h_to_4h,stable_rank,915.2657105356532
EleutherAI/pythia-1b-deduped,1,1,7,attention.dense,stable_rank,517.3634081787374
EleutherAI/pythia-1b-deduped,1,1,7,attention.query_key_value,stable_rank,822.2366492780734
EleutherAI/pythia-1b-deduped,1,1,7,mlp.dense_4h_to_h,stable_rank,914.1173647673088
EleutherAI/pythia-1b-deduped,1,1,7,mlp.dense_h_to_4h,stable_rank,917.6270034657424
EleutherAI/pythia-1b-deduped,1,1,8,attention.dense,stable_rank,516.9925520364268
EleutherAI/pythia-1b-deduped,1,1,8,attention.query_key_value,stable_rank,830.7405352104679
EleutherAI/pythia-1b-deduped,1,1,8,mlp.dense_4h_to_h,stable_rank,908.839085289888
EleutherAI/pythia-1b-deduped,1,1,8,mlp.dense_h_to_4h,stable_rank,910.2669786233472
EleutherAI/pythia-1b-deduped,1,1,9,attention.dense,stable_rank,513.1795444015298
EleutherAI/pythia-1b-deduped,1,1,9,attention.query_key_value,stable_rank,823.7665812861215
EleutherAI/pythia-1b-deduped,1,1,9,mlp.dense_4h_to_h,stable_rank,914.930214855618
EleutherAI/pythia-1b-deduped,1,1,9,mlp.dense_h_to_4h,stable_rank,909.8219756136032
EleutherAI/pythia-1b-deduped,1,1,10,attention.dense,stable_rank,515.3440190503968
EleutherAI/pythia-1b-deduped,1,1,10,attention.query_key_value,stable_rank,825.8763792008227
EleutherAI/pythia-1b-deduped,1,1,10,mlp.dense_4h_to_h,stable_rank,916.230476964738
EleutherAI/pythia-1b-deduped,1,1,10,mlp.dense_h_to_4h,stable_rank,912.9764325073108
EleutherAI/pythia-1b-deduped,1,1,11,attention.dense,stable_rank,514.3002124761587
EleutherAI/pythia-1b-deduped,1,1,11,attention.query_key_value,stable_rank,827.349217347238
EleutherAI/pythia-1b-deduped,1,1,11,mlp.dense_4h_to_h,stable_rank,911.947254754946
EleutherAI/pythia-1b-deduped,1,1,11,mlp.dense_h_to_4h,stable_rank,913.2894476833902
EleutherAI/pythia-1b-deduped,1,1,12,attention.dense,stable_rank,513.2763505948808
EleutherAI/pythia-1b-deduped,1,1,12,attention.query_key_value,stable_rank,826.4598861259441
EleutherAI/pythia-1b-deduped,1,1,12,mlp.dense_4h_to_h,stable_rank,912.5447036872235
EleutherAI/pythia-1b-deduped,1,1,12,mlp.dense_h_to_4h,stable_rank,914.091916655172
EleutherAI/pythia-1b-deduped,1,1,13,attention.dense,stable_rank,512.3862304612517
EleutherAI/pythia-1b-deduped,1,1,13,attention.query_key_value,stable_rank,824.0948270377539
EleutherAI/pythia-1b-deduped,1,1,13,mlp.dense_4h_to_h,stable_rank,911.568074135492
EleutherAI/pythia-1b-deduped,1,1,13,mlp.dense_h_to_4h,stable_rank,916.9196218805332
EleutherAI/pythia-1b-deduped,1,1,14,attention.dense,stable_rank,515.0146276885762
EleutherAI/pythia-1b-deduped,1,1,14,attention.query_key_value,stable_rank,825.9910392437721
EleutherAI/pythia-1b-deduped,1,1,14,mlp.dense_4h_to_h,stable_rank,913.9273783116764
EleutherAI/pythia-1b-deduped,1,1,14,mlp.dense_h_to_4h,stable_rank,911.1132456078336
EleutherAI/pythia-1b-deduped,1,1,15,attention.dense,stable_rank,514.4321259122703
EleutherAI/pythia-1b-deduped,1,1,15,attention.query_key_value,stable_rank,827.047191767411
EleutherAI/pythia-1b-deduped,1,1,15,mlp.dense_4h_to_h,stable_rank,914.78122045549
EleutherAI/pythia-1b-deduped,1,1,15,mlp.dense_h_to_4h,stable_rank,909.8272461157152
EleutherAI/pythia-1b-deduped,2,2,0,attention.dense,stable_rank,515.6178188637803
EleutherAI/pythia-1b-deduped,2,2,0,attention.query_key_value,stable_rank,825.9569101850857
EleutherAI/pythia-1b-deduped,2,2,0,mlp.dense_4h_to_h,stable_rank,910.4600900368932
EleutherAI/pythia-1b-deduped,2,2,0,mlp.dense_h_to_4h,stable_rank,910.0506595660504
EleutherAI/pythia-1b-deduped,2,2,1,attention.dense,stable_rank,510.33022206805634
EleutherAI/pythia-1b-deduped,2,2,1,attention.query_key_value,stable_rank,823.8299415184364
EleutherAI/pythia-1b-deduped,2,2,1,mlp.dense_4h_to_h,stable_rank,915.9349352067522
EleutherAI/pythia-1b-deduped,2,2,1,mlp.dense_h_to_4h,stable_rank,913.9980600692344
EleutherAI/pythia-1b-deduped,2,2,2,attention.dense,stable_rank,507.0238311792813
EleutherAI/pythia-1b-deduped,2,2,2,attention.query_key_value,stable_rank,827.3364982356818
EleutherAI/pythia-1b-deduped,2,2,2,mlp.dense_4h_to_h,stable_rank,912.5693962801892
EleutherAI/pythia-1b-deduped,2,2,2,mlp.dense_h_to_4h,stable_rank,916.0209732455472
EleutherAI/pythia-1b-deduped,2,2,3,attention.dense,stable_rank,515.6258738658457
EleutherAI/pythia-1b-deduped,2,2,3,attention.query_key_value,stable_rank,824.9843509911129
EleutherAI/pythia-1b-deduped,2,2,3,mlp.dense_4h_to_h,stable_rank,910.0822701392927
EleutherAI/pythia-1b-deduped,2,2,3,mlp.dense_h_to_4h,stable_rank,914.099402947945
EleutherAI/pythia-1b-deduped,2,2,4,attention.dense,stable_rank,517.3781255345391
EleutherAI/pythia-1b-deduped,2,2,4,attention.query_key_value,stable_rank,821.4250070788876
EleutherAI/pythia-1b-deduped,2,2,4,mlp.dense_4h_to_h,stable_rank,911.449010582867
EleutherAI/pythia-1b-deduped,2,2,4,mlp.dense_h_to_4h,stable_rank,916.4508888126006
EleutherAI/pythia-1b-deduped,2,2,5,attention.dense,stable_rank,512.8842941748484
EleutherAI/pythia-1b-deduped,2,2,5,attention.query_key_value,stable_rank,825.2146549807411
EleutherAI/pythia-1b-deduped,2,2,5,mlp.dense_4h_to_h,stable_rank,914.2096749372116
EleutherAI/pythia-1b-deduped,2,2,5,mlp.dense_h_to_4h,stable_rank,914.6771082820352
EleutherAI/pythia-1b-deduped,2,2,6,attention.dense,stable_rank,516.3739456065655
EleutherAI/pythia-1b-deduped,2,2,6,attention.query_key_value,stable_rank,826.6818021679883
EleutherAI/pythia-1b-deduped,2,2,6,mlp.dense_4h_to_h,stable_rank,916.5815465880044
EleutherAI/pythia-1b-deduped,2,2,6,mlp.dense_h_to_4h,stable_rank,915.3258083064676
EleutherAI/pythia-1b-deduped,2,2,7,attention.dense,stable_rank,517.3454239343137
EleutherAI/pythia-1b-deduped,2,2,7,attention.query_key_value,stable_rank,822.2996378781066
EleutherAI/pythia-1b-deduped,2,2,7,mlp.dense_4h_to_h,stable_rank,914.0366214379576
EleutherAI/pythia-1b-deduped,2,2,7,mlp.dense_h_to_4h,stable_rank,917.7105344634124
EleutherAI/pythia-1b-deduped,2,2,8,attention.dense,stable_rank,516.958409860153
EleutherAI/pythia-1b-deduped,2,2,8,attention.query_key_value,stable_rank,830.7446441984858
EleutherAI/pythia-1b-deduped,2,2,8,mlp.dense_4h_to_h,stable_rank,908.8226197423168
EleutherAI/pythia-1b-deduped,2,2,8,mlp.dense_h_to_4h,stable_rank,910.362642537393
EleutherAI/pythia-1b-deduped,2,2,9,attention.dense,stable_rank,513.1588362040583
EleutherAI/pythia-1b-deduped,2,2,9,attention.query_key_value,stable_rank,823.8258355447152
EleutherAI/pythia-1b-deduped,2,2,9,mlp.dense_4h_to_h,stable_rank,914.9280999157291
EleutherAI/pythia-1b-deduped,2,2,9,mlp.dense_h_to_4h,stable_rank,909.8082092036076
EleutherAI/pythia-1b-deduped,2,2,10,attention.dense,stable_rank,515.5024386446491
EleutherAI/pythia-1b-deduped,2,2,10,attention.query_key_value,stable_rank,825.8559313162417
EleutherAI/pythia-1b-deduped,2,2,10,mlp.dense_4h_to_h,stable_rank,916.189014289061
EleutherAI/pythia-1b-deduped,2,2,10,mlp.dense_h_to_4h,stable_rank,913.0151804230976
EleutherAI/pythia-1b-deduped,2,2,11,attention.dense,stable_rank,514.486812853557
EleutherAI/pythia-1b-deduped,2,2,11,attention.query_key_value,stable_rank,827.3560428307434
EleutherAI/pythia-1b-deduped,2,2,11,mlp.dense_4h_to_h,stable_rank,912.0800480732804
EleutherAI/pythia-1b-deduped,2,2,11,mlp.dense_h_to_4h,stable_rank,913.3089804864736
EleutherAI/pythia-1b-deduped,2,2,12,attention.dense,stable_rank,513.4016719379479
EleutherAI/pythia-1b-deduped,2,2,12,attention.query_key_value,stable_rank,826.4045567800845
EleutherAI/pythia-1b-deduped,2,2,12,mlp.dense_4h_to_h,stable_rank,912.5720607757588
EleutherAI/pythia-1b-deduped,2,2,12,mlp.dense_h_to_4h,stable_rank,914.077370966914
EleutherAI/pythia-1b-deduped,2,2,13,attention.dense,stable_rank,511.6975484253565
EleutherAI/pythia-1b-deduped,2,2,13,attention.query_key_value,stable_rank,824.122939336639
EleutherAI/pythia-1b-deduped,2,2,13,mlp.dense_4h_to_h,stable_rank,911.6081257142408
EleutherAI/pythia-1b-deduped,2,2,13,mlp.dense_h_to_4h,stable_rank,916.9761099804258
EleutherAI/pythia-1b-deduped,2,2,14,attention.dense,stable_rank,514.9926822364652
EleutherAI/pythia-1b-deduped,2,2,14,attention.query_key_value,stable_rank,826.0211841523169
EleutherAI/pythia-1b-deduped,2,2,14,mlp.dense_4h_to_h,stable_rank,913.8875007876156
EleutherAI/pythia-1b-deduped,2,2,14,mlp.dense_h_to_4h,stable_rank,911.1701509436524
EleutherAI/pythia-1b-deduped,2,2,15,attention.dense,stable_rank,514.5285858060327
EleutherAI/pythia-1b-deduped,2,2,15,attention.query_key_value,stable_rank,827.0508328042175
EleutherAI/pythia-1b-deduped,2,2,15,mlp.dense_4h_to_h,stable_rank,914.7690975510438
EleutherAI/pythia-1b-deduped,2,2,15,mlp.dense_h_to_4h,stable_rank,909.7899669278682
EleutherAI/pythia-1b-deduped,4,4,0,attention.dense,stable_rank,515.6265965827026
EleutherAI/pythia-1b-deduped,4,4,0,attention.query_key_value,stable_rank,825.8873957316891
EleutherAI/pythia-1b-deduped,4,4,0,mlp.dense_4h_to_h,stable_rank,910.3973537248194
EleutherAI/pythia-1b-deduped,4,4,0,mlp.dense_h_to_4h,stable_rank,909.995951834908
EleutherAI/pythia-1b-deduped,4,4,1,attention.dense,stable_rank,510.26084771750686
EleutherAI/pythia-1b-deduped,4,4,1,attention.query_key_value,stable_rank,823.8776892594523
EleutherAI/pythia-1b-deduped,4,4,1,mlp.dense_4h_to_h,stable_rank,916.0419594455234
EleutherAI/pythia-1b-deduped,4,4,1,mlp.dense_h_to_4h,stable_rank,914.095424044949
EleutherAI/pythia-1b-deduped,4,4,2,attention.dense,stable_rank,506.8625461693378
EleutherAI/pythia-1b-deduped,4,4,2,attention.query_key_value,stable_rank,827.3698007154698
EleutherAI/pythia-1b-deduped,4,4,2,mlp.dense_4h_to_h,stable_rank,912.490248001258
EleutherAI/pythia-1b-deduped,4,4,2,mlp.dense_h_to_4h,stable_rank,916.032378962929
EleutherAI/pythia-1b-deduped,4,4,3,attention.dense,stable_rank,515.6518222105597
EleutherAI/pythia-1b-deduped,4,4,3,attention.query_key_value,stable_rank,825.0089689780895
EleutherAI/pythia-1b-deduped,4,4,3,mlp.dense_4h_to_h,stable_rank,909.930782538416
EleutherAI/pythia-1b-deduped,4,4,3,mlp.dense_h_to_4h,stable_rank,914.0717158334984
EleutherAI/pythia-1b-deduped,4,4,4,attention.dense,stable_rank,517.3721650916207
EleutherAI/pythia-1b-deduped,4,4,4,attention.query_key_value,stable_rank,821.3745073761364
EleutherAI/pythia-1b-deduped,4,4,4,mlp.dense_4h_to_h,stable_rank,911.5061938827716
EleutherAI/pythia-1b-deduped,4,4,4,mlp.dense_h_to_4h,stable_rank,916.4399328263193
EleutherAI/pythia-1b-deduped,4,4,5,attention.dense,stable_rank,512.8973070128717
EleutherAI/pythia-1b-deduped,4,4,5,attention.query_key_value,stable_rank,825.2249088273154
EleutherAI/pythia-1b-deduped,4,4,5,mlp.dense_4h_to_h,stable_rank,914.2421583995864
EleutherAI/pythia-1b-deduped,4,4,5,mlp.dense_h_to_4h,stable_rank,914.6922453691504
EleutherAI/pythia-1b-deduped,4,4,6,attention.dense,stable_rank,516.409661165874
EleutherAI/pythia-1b-deduped,4,4,6,attention.query_key_value,stable_rank,826.5780494845909
EleutherAI/pythia-1b-deduped,4,4,6,mlp.dense_4h_to_h,stable_rank,916.5723536472462
EleutherAI/pythia-1b-deduped,4,4,6,mlp.dense_h_to_4h,stable_rank,915.2925157899488
EleutherAI/pythia-1b-deduped,4,4,7,attention.dense,stable_rank,517.3925220027861
EleutherAI/pythia-1b-deduped,4,4,7,attention.query_key_value,stable_rank,822.2639281648551
EleutherAI/pythia-1b-deduped,4,4,7,mlp.dense_4h_to_h,stable_rank,914.0908913169038
EleutherAI/pythia-1b-deduped,4,4,7,mlp.dense_h_to_4h,stable_rank,917.666806708954
EleutherAI/pythia-1b-deduped,4,4,8,attention.dense,stable_rank,516.9770325441365
EleutherAI/pythia-1b-deduped,4,4,8,attention.query_key_value,stable_rank,830.7606362710713
EleutherAI/pythia-1b-deduped,4,4,8,mlp.dense_4h_to_h,stable_rank,908.866515100291
EleutherAI/pythia-1b-deduped,4,4,8,mlp.dense_h_to_4h,stable_rank,910.3649924878604
EleutherAI/pythia-1b-deduped,4,4,9,attention.dense,stable_rank,513.1547332661685
EleutherAI/pythia-1b-deduped,4,4,9,attention.query_key_value,stable_rank,823.8372114454546
EleutherAI/pythia-1b-deduped,4,4,9,mlp.dense_4h_to_h,stable_rank,914.8844012791212
EleutherAI/pythia-1b-deduped,4,4,9,mlp.dense_h_to_4h,stable_rank,909.8636362788416
EleutherAI/pythia-1b-deduped,4,4,10,attention.dense,stable_rank,515.4231570962348
EleutherAI/pythia-1b-deduped,4,4,10,attention.query_key_value,stable_rank,825.8287912337692
EleutherAI/pythia-1b-deduped,4,4,10,mlp.dense_4h_to_h,stable_rank,916.1657406131992
EleutherAI/pythia-1b-deduped,4,4,10,mlp.dense_h_to_4h,stable_rank,912.9872824304242
EleutherAI/pythia-1b-deduped,4,4,11,attention.dense,stable_rank,514.2685313983133
EleutherAI/pythia-1b-deduped,4,4,11,attention.query_key_value,stable_rank,827.3554537404639
EleutherAI/pythia-1b-deduped,4,4,11,mlp.dense_4h_to_h,stable_rank,911.9869212105413
EleutherAI/pythia-1b-deduped,4,4,11,mlp.dense_h_to_4h,stable_rank,913.2927820434088
EleutherAI/pythia-1b-deduped,4,4,12,attention.dense,stable_rank,513.3271157803293
EleutherAI/pythia-1b-deduped,4,4,12,attention.query_key_value,stable_rank,826.4946098357872
EleutherAI/pythia-1b-deduped,4,4,12,mlp.dense_4h_to_h,stable_rank,912.588638312512
EleutherAI/pythia-1b-deduped,4,4,12,mlp.dense_h_to_4h,stable_rank,914.177759936396
EleutherAI/pythia-1b-deduped,4,4,13,attention.dense,stable_rank,511.7791055586431
EleutherAI/pythia-1b-deduped,4,4,13,attention.query_key_value,stable_rank,824.1534742605207
EleutherAI/pythia-1b-deduped,4,4,13,mlp.dense_4h_to_h,stable_rank,911.590210626952
EleutherAI/pythia-1b-deduped,4,4,13,mlp.dense_h_to_4h,stable_rank,916.9271848159476
EleutherAI/pythia-1b-deduped,4,4,14,attention.dense,stable_rank,515.0087723689301
EleutherAI/pythia-1b-deduped,4,4,14,attention.query_key_value,stable_rank,826.0168547800173
EleutherAI/pythia-1b-deduped,4,4,14,mlp.dense_4h_to_h,stable_rank,913.8947337943242
EleutherAI/pythia-1b-deduped,4,4,14,mlp.dense_h_to_4h,stable_rank,911.1828244694916
EleutherAI/pythia-1b-deduped,4,4,15,attention.dense,stable_rank,514.4257673673499
EleutherAI/pythia-1b-deduped,4,4,15,attention.query_key_value,stable_rank,827.0686603229183
EleutherAI/pythia-1b-deduped,4,4,15,mlp.dense_4h_to_h,stable_rank,914.7108782903966
EleutherAI/pythia-1b-deduped,4,4,15,mlp.dense_h_to_4h,stable_rank,909.8823925535733
EleutherAI/pythia-1b-deduped,8,8,0,attention.dense,stable_rank,515.5021221340141
EleutherAI/pythia-1b-deduped,8,8,0,attention.query_key_value,stable_rank,825.9183803717132
EleutherAI/pythia-1b-deduped,8,8,0,mlp.dense_4h_to_h,stable_rank,910.4661347342264
EleutherAI/pythia-1b-deduped,8,8,0,mlp.dense_h_to_4h,stable_rank,910.016553964026
EleutherAI/pythia-1b-deduped,8,8,1,attention.dense,stable_rank,510.3828495895685
EleutherAI/pythia-1b-deduped,8,8,1,attention.query_key_value,stable_rank,823.8914344062598
EleutherAI/pythia-1b-deduped,8,8,1,mlp.dense_4h_to_h,stable_rank,916.009898332586
EleutherAI/pythia-1b-deduped,8,8,1,mlp.dense_h_to_4h,stable_rank,913.960095039712
EleutherAI/pythia-1b-deduped,8,8,2,attention.dense,stable_rank,506.9547751613316
EleutherAI/pythia-1b-deduped,8,8,2,attention.query_key_value,stable_rank,827.3165142257039
EleutherAI/pythia-1b-deduped,8,8,2,mlp.dense_4h_to_h,stable_rank,912.437744588124
EleutherAI/pythia-1b-deduped,8,8,2,mlp.dense_h_to_4h,stable_rank,915.994896532006
EleutherAI/pythia-1b-deduped,8,8,3,attention.dense,stable_rank,515.6208731413769
EleutherAI/pythia-1b-deduped,8,8,3,attention.query_key_value,stable_rank,825.0093891128919
EleutherAI/pythia-1b-deduped,8,8,3,mlp.dense_4h_to_h,stable_rank,909.9524549654363
EleutherAI/pythia-1b-deduped,8,8,3,mlp.dense_h_to_4h,stable_rank,914.1346274401984
EleutherAI/pythia-1b-deduped,8,8,4,attention.dense,stable_rank,517.3403794532489
EleutherAI/pythia-1b-deduped,8,8,4,attention.query_key_value,stable_rank,821.3691405927322
EleutherAI/pythia-1b-deduped,8,8,4,mlp.dense_4h_to_h,stable_rank,911.595779896176
EleutherAI/pythia-1b-deduped,8,8,4,mlp.dense_h_to_4h,stable_rank,916.528638423042
EleutherAI/pythia-1b-deduped,8,8,5,attention.dense,stable_rank,513.0224718159857
EleutherAI/pythia-1b-deduped,8,8,5,attention.query_key_value,stable_rank,825.1845326079507
EleutherAI/pythia-1b-deduped,8,8,5,mlp.dense_4h_to_h,stable_rank,914.2579824797136
EleutherAI/pythia-1b-deduped,8,8,5,mlp.dense_h_to_4h,stable_rank,914.7049455173126
EleutherAI/pythia-1b-deduped,8,8,6,attention.dense,stable_rank,516.2287835539048
EleutherAI/pythia-1b-deduped,8,8,6,attention.query_key_value,stable_rank,826.5845159577154
EleutherAI/pythia-1b-deduped,8,8,6,mlp.dense_4h_to_h,stable_rank,916.58103899198
EleutherAI/pythia-1b-deduped,8,8,6,mlp.dense_h_to_4h,stable_rank,915.296490302731
EleutherAI/pythia-1b-deduped,8,8,7,attention.dense,stable_rank,517.3443325066993
EleutherAI/pythia-1b-deduped,8,8,7,attention.query_key_value,stable_rank,822.2472140171602
EleutherAI/pythia-1b-deduped,8,8,7,mlp.dense_4h_to_h,stable_rank,913.9740071593446
