arm,seed,inject_checkpoint,endpoint_checkpoint,matrix,delta_p,delta_cos,drift_norm,delta_norm,relative_drift_norm,t_cont,phase
post_hoc,0,step2000,step2000,gpt_neox.layers.10.mlp.dense_4h_to_h.weight,1.0,1.0,0.0206858338943103,0.0206858338943103,0.0009679131713417,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.11.attention.query_key_value.weight,1.0,1.0,0.0109749612682861,0.0109749612682861,0.0003382605425808,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.11.attention.dense.weight,1.0,1.0,0.0103103758792261,0.0103103758792261,0.0010918329149723,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.11.mlp.dense_h_to_4h.weight,1.0,1.0,0.0132199873424761,0.0132199873424761,0.0003357680581289,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.11.mlp.dense_4h_to_h.weight,1.0,1.0,0.021619077131211,0.021619077131211,0.0011050370710081,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.attention.query_key_value.weight,1.0,1.0,0.0101399608143685,0.0101399608143685,0.000335496628155,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.attention.dense.weight,1.0,1.0,0.0115562556324586,0.0115562556324586,0.0022929614647074,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,1.0,1.0,0.0160746481540865,0.0160746481540865,0.0004666750353649,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,1.0,1.0,0.0307362769139131,0.0307362769139131,0.0030710123215912,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.attention.query_key_value.weight,1.0,1.0,0.0102924975305661,0.0102924975305661,0.0003357520381188,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.attention.dense.weight,1.0,1.0,0.0126476758134243,0.0126476758134243,0.002678964292608,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.mlp.dense_h_to_4h.weight,1.0,1.0,0.0150115103853881,0.0150115103853881,0.000426677120974,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.mlp.dense_4h_to_h.weight,1.0,1.0,0.0294129139902685,0.0294129139902685,0.0028225946215889,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.2.attention.query_key_value.weight,1.0,1.0,0.0110509495156861,0.0110509495156861,0.0003555375797417,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.2.attention.dense.weight,1.0,1.0,0.0134215866450699,0.0134215866450699,0.0024596701340257,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.2.mlp.dense_h_to_4h.weight,1.0,1.0,0.0147653040507292,0.0147653040507292,0.0004201681292057,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.2.mlp.dense_4h_to_h.weight,1.0,1.0,0.0298764177177656,0.0298764177177656,0.0028897048266898,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.3.attention.query_key_value.weight,1.0,1.0,0.0114346465233587,0.0114346465233587,0.0003687493460941,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.3.attention.dense.weight,1.0,1.0,0.013314804494195,0.013314804494195,0.0022299023014823,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.3.mlp.dense_h_to_4h.weight,1.0,1.0,0.0145882766852647,0.0145882766852647,0.0004155484931328,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.3.mlp.dense_4h_to_h.weight,1.0,1.0,0.0302323535587197,0.0302323535587197,0.002908244998967,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.4.attention.query_key_value.weight,1.0,1.0,0.0106022948315738,0.0106022948315738,0.0003204033512066,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.4.attention.dense.weight,1.0,1.0,0.0120112120756036,0.0120112120756036,0.0017435904529005,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.4.mlp.dense_h_to_4h.weight,1.0,1.0,0.0145594431670218,0.0145594431670218,0.0004112629025959,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.4.mlp.dense_4h_to_h.weight,1.0,1.0,0.0298165191405618,0.0298165191405618,0.0027154286740175,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.5.attention.query_key_value.weight,1.0,1.0,0.0100029382013183,0.0100029382013183,0.0003105394748876,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.5.attention.dense.weight,1.0,1.0,0.011596341504637,0.011596341504637,0.0019165613285694,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.5.mlp.dense_h_to_4h.weight,1.0,1.0,0.0141911486064283,0.0141911486064283,0.0003994381918299,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.5.mlp.dense_4h_to_h.weight,1.0,1.0,0.0291105984414323,0.0291105984414323,0.0026218989752299,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.6.attention.query_key_value.weight,1.0,1.0,0.0097110564801161,0.0097110564801161,0.0003113558049949,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.6.attention.dense.weight,1.0,1.0,0.0120621294554717,0.0120621294554717,0.0022038344685371,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.6.mlp.dense_h_to_4h.weight,1.0,1.0,0.0136918083339685,0.0136918083339685,0.0003834619173686,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.6.mlp.dense_4h_to_h.weight,1.0,1.0,0.028671650378935,0.028671650378935,0.0025494231963302,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.7.attention.query_key_value.weight,1.0,1.0,0.0098749604160705,0.0098749604160705,0.0003204748182451,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.7.attention.dense.weight,1.0,1.0,0.0125538603687703,0.0125538603687703,0.00231634079025,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.7.mlp.dense_h_to_4h.weight,1.0,1.0,0.0133406633750821,0.0133406633750821,0.0003723864357806,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.7.mlp.dense_4h_to_h.weight,1.0,1.0,0.0280895646950344,0.0280895646950344,0.0024864757571214,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.8.attention.query_key_value.weight,1.0,1.0,0.0092672980656127,0.0092672980656127,0.0003007196915262,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.8.attention.dense.weight,1.0,1.0,0.0118353735302337,0.0118353735302337,0.0021193437077723,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.8.mlp.dense_h_to_4h.weight,1.0,1.0,0.0130964529610776,0.0130964529610776,0.0003645063033493,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.8.mlp.dense_4h_to_h.weight,1.0,1.0,0.0277676213488108,0.0277676213488108,0.0024410379397355,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.9.attention.query_key_value.weight,1.0,1.0,0.0093405781755405,0.0093405781755405,0.0003028288257131,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.9.attention.dense.weight,1.0,1.0,0.0113258959266574,0.0113258959266574,0.0020329235064679,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.9.mlp.dense_h_to_4h.weight,1.0,1.0,0.0129799518326945,0.0129799518326945,0.0003602564973626,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.9.mlp.dense_4h_to_h.weight,1.0,1.0,0.0277374599564452,0.0277374599564452,0.0024117762359199,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.10.attention.query_key_value.weight,1.0,1.0,0.0096553322392713,0.0096553322392713,0.0003131944169834,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.10.attention.dense.weight,1.0,1.0,0.0122486507685183,0.0122486507685183,0.0022121063897622,0,snapshot_0
