model,model_short,eval_type,task,metric,from_step,to_step,delta,abs_delta
EleutherAI/pythia-1b-deduped,1b,multiple_choice,syntax_regularities,gold_logprob_margin,128,512,2.209635416666667,2.209635416666667
EleutherAI/pythia-1b-deduped,1b,multiple_choice,syntax_regularities,gold_logprob_margin,512,1000,1.9114583333333335,1.9114583333333335
EleutherAI/pythia-1b-deduped,1b,multiple_choice,syntax_regularities,gold_logprob_margin,1000,2000,3.285319010416666,3.285319010416666
EleutherAI/pythia-1b-deduped,1b,multiple_choice,syntax_regularities,gold_logprob_margin,2000,3000,-0.333984375,0.333984375
EleutherAI/pythia-1b-deduped,1b,multiple_choice,syntax_regularities,gold_logprob_margin,3000,8000,-1.202555338541666,1.202555338541666
EleutherAI/pythia-1b-deduped,1b,multiple_choice,syntax_regularities,gold_logprob_margin,8000,16000,1.494791666666666,1.494791666666666
EleutherAI/pythia-1b-deduped,1b,multiple_choice,syntax_regularities,gold_logprob_margin,16000,64000,0.5907796223958339,0.5907796223958339
EleutherAI/pythia-1b-deduped,1b,multiple_choice,syntax_regularities,gold_logprob_margin,64000,143000,-0.26127115885416696,0.26127115885416696
EleutherAI/pythia-410m-deduped,410m,lm_loss,fixed_text,nll,0,128,-2.76171875,2.76171875
EleutherAI/pythia-410m-deduped,410m,lm_loss,fixed_text,nll,128,512,-1.7500000000000009,1.7500000000000009
EleutherAI/pythia-410m-deduped,410m,lm_loss,fixed_text,nll,512,1000,-0.6343749999999995,0.6343749999999995
EleutherAI/pythia-410m-deduped,410m,lm_loss,fixed_text,nll,1000,2000,-0.73046875,0.73046875
EleutherAI/pythia-410m-deduped,410m,lm_loss,fixed_text,nll,2000,3000,-0.3406250000000002,0.3406250000000002
EleutherAI/pythia-410m-deduped,410m,lm_loss,fixed_text,nll,3000,8000,-0.2707031249999998,0.2707031249999998
EleutherAI/pythia-410m-deduped,410m,lm_loss,fixed_text,nll,8000,16000,-0.23906250000000018,0.23906250000000018
EleutherAI/pythia-410m-deduped,410m,lm_loss,fixed_text,nll,16000,64000,-0.14726562500000018,0.14726562500000018
EleutherAI/pythia-410m-deduped,410m,lm_loss,fixed_text,nll,64000,143000,-0.08710937499999982,0.08710937499999982
EleutherAI/pythia-410m-deduped,410m,multiple_choice,syntax_regularities,gold_logprob_margin,0,128,0.8723958333333334,0.8723958333333334
EleutherAI/pythia-410m-deduped,410m,multiple_choice,syntax_regularities,gold_logprob_margin,128,512,1.7317708333333333,1.7317708333333333
EleutherAI/pythia-410m-deduped,410m,multiple_choice,syntax_regularities,gold_logprob_margin,512,1000,2.2578125,2.2578125
EleutherAI/pythia-410m-deduped,410m,multiple_choice,syntax_regularities,gold_logprob_margin,1000,2000,1.542643229166667,1.542643229166667
EleutherAI/pythia-410m-deduped,410m,multiple_choice,syntax_regularities,gold_logprob_margin,2000,3000,1.143229166666667,1.143229166666667
EleutherAI/pythia-410m-deduped,410m,multiple_choice,syntax_regularities,gold_logprob_margin,3000,8000,0.10970052083333304,0.10970052083333304
EleutherAI/pythia-410m-deduped,410m,multiple_choice,syntax_regularities,gold_logprob_margin,8000,16000,-0.34814453125,0.34814453125
EleutherAI/pythia-410m-deduped,410m,multiple_choice,syntax_regularities,gold_logprob_margin,16000,64000,-0.015462239583333037,0.015462239583333037
EleutherAI/pythia-410m-deduped,410m,multiple_choice,syntax_regularities,gold_logprob_margin,64000,143000,0.9742838541666661,0.9742838541666661
EleutherAI/pythia-70m-deduped,70m,lm_loss,fixed_text,nll,0,128,-3.0828124999999993,3.0828124999999993
EleutherAI/pythia-70m-deduped,70m,lm_loss,fixed_text,nll,128,512,-1.6554687499999998,1.6554687499999998
EleutherAI/pythia-70m-deduped,70m,lm_loss,fixed_text,nll,512,1000,-0.5570312500000005,0.5570312500000005
EleutherAI/pythia-70m-deduped,70m,lm_loss,fixed_text,nll,1000,2000,-0.40781249999999947,0.40781249999999947
EleutherAI/pythia-70m-deduped,70m,lm_loss,fixed_text,nll,2000,3000,-0.09687499999999982,0.09687499999999982
EleutherAI/pythia-70m-deduped,70m,lm_loss,fixed_text,nll,3000,8000,-0.09609375000000053,0.09609375000000053
EleutherAI/pythia-70m-deduped,70m,lm_loss,fixed_text,nll,8000,16000,-0.16093750000000018,0.16093750000000018
EleutherAI/pythia-70m-deduped,70m,lm_loss,fixed_text,nll,16000,64000,-0.08476562499999929,0.08476562499999929
EleutherAI/pythia-70m-deduped,70m,lm_loss,fixed_text,nll,64000,143000,0.035546874999999645,0.035546874999999645
EleutherAI/pythia-70m-deduped,70m,multiple_choice,syntax_regularities,gold_logprob_margin,0,128,-0.2903645833333333,0.2903645833333333
EleutherAI/pythia-70m-deduped,70m,multiple_choice,syntax_regularities,gold_logprob_margin,128,512,2.20703125,2.20703125
EleutherAI/pythia-70m-deduped,70m,multiple_choice,syntax_regularities,gold_logprob_margin,512,1000,2.0065104166666665,2.0065104166666665
EleutherAI/pythia-70m-deduped,70m,multiple_choice,syntax_regularities,gold_logprob_margin,1000,2000,0.34960937500000044,0.34960937500000044
EleutherAI/pythia-70m-deduped,70m,multiple_choice,syntax_regularities,gold_logprob_margin,2000,3000,0.29427083333333304,0.29427083333333304
EleutherAI/pythia-70m-deduped,70m,multiple_choice,syntax_regularities,gold_logprob_margin,3000,8000,1.002604166666667,1.002604166666667
EleutherAI/pythia-70m-deduped,70m,multiple_choice,syntax_regularities,gold_logprob_margin,8000,16000,1.467447916666666,1.467447916666666
EleutherAI/pythia-70m-deduped,70m,multiple_choice,syntax_regularities,gold_logprob_margin,16000,64000,-0.5094401041666661,0.5094401041666661
EleutherAI/pythia-70m-deduped,70m,multiple_choice,syntax_regularities,gold_logprob_margin,64000,143000,-1.456380208333334,1.456380208333334
