step,step_num,layer,module,metric,value,module_family,module_role
2,2,7,mlp.dense_h_to_4h,subspace_stability_topk,0.9998013973236084,MLP,MLP in
2,2,8,attention.dense,subspace_stability_topk,0.9998934268951416,Attention,Attention output
2,2,8,attention.query_key_value,subspace_stability_topk,0.9997773170471193,Attention,QKV
2,2,8,mlp.dense_4h_to_h,subspace_stability_topk,1.0003209114074707,MLP,MLP out
2,2,8,mlp.dense_h_to_4h,subspace_stability_topk,0.999789834022522,MLP,MLP in
2,2,9,attention.dense,subspace_stability_topk,0.9998818635940552,Attention,Attention output
2,2,9,attention.query_key_value,subspace_stability_topk,0.9998029470443726,Attention,QKV
2,2,9,mlp.dense_4h_to_h,subspace_stability_topk,1.0003235340118408,MLP,MLP out
2,2,9,mlp.dense_h_to_4h,subspace_stability_topk,0.9997577667236328,MLP,MLP in
2,2,10,attention.dense,subspace_stability_topk,0.9999030828475952,Attention,Attention output
2,2,10,attention.query_key_value,subspace_stability_topk,0.9997912049293518,Attention,QKV
2,2,10,mlp.dense_4h_to_h,subspace_stability_topk,1.000314712524414,MLP,MLP out
2,2,10,mlp.dense_h_to_4h,subspace_stability_topk,0.9997724890708924,MLP,MLP in
2,2,11,attention.dense,subspace_stability_topk,0.9999189376831056,Attention,Attention output
2,2,11,attention.query_key_value,subspace_stability_topk,0.9997773170471193,Attention,QKV
2,2,11,mlp.dense_4h_to_h,subspace_stability_topk,1.0003201961517334,MLP,MLP out
2,2,11,mlp.dense_h_to_4h,subspace_stability_topk,0.9997645020484924,MLP,MLP in
4,4,0,attention.dense,subspace_stability_topk,0.9998952150344848,Attention,Attention output
4,4,0,attention.query_key_value,subspace_stability_topk,0.9997875690460204,Attention,QKV
4,4,0,mlp.dense_4h_to_h,subspace_stability_topk,1.0003087520599363,MLP,MLP out
4,4,0,mlp.dense_h_to_4h,subspace_stability_topk,0.999780774116516,MLP,MLP in
4,4,1,attention.dense,subspace_stability_topk,0.9999058246612548,Attention,Attention output
4,4,1,attention.query_key_value,subspace_stability_topk,0.9998155832290648,Attention,QKV
4,4,1,mlp.dense_4h_to_h,subspace_stability_topk,1.0003299713134766,MLP,MLP out
4,4,1,mlp.dense_h_to_4h,subspace_stability_topk,0.999789834022522,MLP,MLP in
4,4,2,attention.dense,subspace_stability_topk,0.9999053478240968,Attention,Attention output
4,4,2,attention.query_key_value,subspace_stability_topk,0.9998008012771606,Attention,QKV
4,4,2,mlp.dense_4h_to_h,subspace_stability_topk,1.000319480895996,MLP,MLP out
4,4,2,mlp.dense_h_to_4h,subspace_stability_topk,0.9997979402542114,MLP,MLP in
