model,step,module,stable_rank,effective_rank,spectral_norm,frobenius_norm,subspace_stability_topk,mp_outliers_x1,alpha_tail_frac_0.3
EleutherAI/pythia-70m-deduped,1000,attention.dense,73.22471706367368,397.8791482216427,0.9777855376402537,8.209261608517112,0.4901751031478246,0.0,2.1285432624585137
EleutherAI/pythia-70m-deduped,1000,attention.query_key_value,30.860458880675594,478.7542763511065,5.096482475598653,26.257230344489926,0.6893406411012014,24.166666666666668,2.624117489286974
EleutherAI/pythia-70m-deduped,1000,mlp.dense_4h_to_h,128.7993802997543,491.60647705907076,1.4333671927452087,15.861267049752335,0.6326314707597097,17.333333333333332,4.3668159861043145
EleutherAI/pythia-70m-deduped,1000,mlp.dense_h_to_4h,105.30823527987206,493.36400122954575,2.885785142580668,28.787425547969544,0.6855108837286631,8.5,4.575161195287673
EleutherAI/pythia-70m-deduped,2000,attention.dense,51.6806439297597,378.6400302657303,1.597010612487793,11.291652523661208,0.6330053508281708,0.0,1.8810060512487456
EleutherAI/pythia-70m-deduped,2000,attention.query_key_value,16.273607568571606,466.99397959932503,7.174073934555054,28.268991847351703,0.7109349370002747,50.333333333333336,2.023248038950474
EleutherAI/pythia-70m-deduped,2000,mlp.dense_4h_to_h,90.5608594912945,484.3595039126522,2.2676000793774924,20.613284959677856,0.6252908110618591,41.833333333333336,3.4245844411847046
EleutherAI/pythia-70m-deduped,2000,mlp.dense_h_to_4h,35.77291399834808,486.48496164988023,5.3177281220753985,31.36053599412487,0.6614736715952555,32.666666666666664,2.85135928846317
EleutherAI/pythia-70m-deduped,3000,attention.dense,55.65568847188511,377.73576962995156,1.8927928407986958,13.850552251724602,0.8423346678415934,0.0,2.093064319390544
EleutherAI/pythia-70m-deduped,3000,attention.query_key_value,15.758173235119662,461.5691138602363,7.721330642700195,29.960947462646615,0.9071414073308309,62.666666666666664,2.000649153893613
EleutherAI/pythia-70m-deduped,3000,mlp.dense_4h_to_h,80.1971398092327,482.67402597084623,2.908853809038798,24.763391240726254,0.8510630826155344,43.833333333333336,3.289103468002988
EleutherAI/pythia-70m-deduped,3000,mlp.dense_h_to_4h,29.480666510101177,481.25647977974046,6.2615892092386884,33.427257868407935,0.8925049205621084,44.833333333333336,2.5511508925766755
EleutherAI/pythia-70m-deduped,8000,attention.dense,59.620992113942634,381.11537083743724,2.6168086926142373,19.692015324311473,0.7000032762686411,0.0,2.3837716947634475
EleutherAI/pythia-70m-deduped,8000,attention.query_key_value,21.71265952344328,458.6361523208625,7.7823545932769775,35.716418152052505,0.7815800309181213,66.16666666666667,2.2085223168492614
EleutherAI/pythia-70m-deduped,8000,mlp.dense_4h_to_h,53.11320380121759,480.39307593248276,4.9535131851832075,34.88204324064872,0.7588874499003092,44.833333333333336,2.9009112057280717
EleutherAI/pythia-70m-deduped,8000,mlp.dense_h_to_4h,26.745375635583155,473.45614701072276,8.092571338017782,40.654998118617584,0.823996459444364,54.833333333333336,2.364119411247857
EleutherAI/pythia-70m-deduped,16000,attention.dense,58.42375692220472,379.7300685639227,2.986316720644633,21.854155337934873,0.8259444733460745,0.0,2.431293307927743
EleutherAI/pythia-70m-deduped,16000,attention.query_key_value,31.051527808402543,458.9662857799993,7.182771921157837,39.73168691270106,0.8704480230808258,67.0,2.3952490205546826
EleutherAI/pythia-70m-deduped,16000,mlp.dense_4h_to_h,49.92724296687086,479.08184869408905,5.733636856079102,39.22556765574766,0.8963296016057333,45.833333333333336,2.8322082165579126
EleutherAI/pythia-70m-deduped,16000,mlp.dense_h_to_4h,30.06783210435148,471.0160504872014,9.162516196568808,46.40994514467018,0.8841276864210764,55.0,2.4078123159656872
EleutherAI/pythia-70m-deduped,64000,attention.dense,50.498653140647434,369.8649930314668,2.8697010278701782,18.649389695324604,0.5699539929628372,0.0,2.169262749106777
EleutherAI/pythia-70m-deduped,64000,attention.query_key_value,29.59082187741561,388.61020315900777,32.76011840502421,71.15416747175634,0.5125291272997856,100.33333333333333,1.7772129140168176
EleutherAI/pythia-70m-deduped,64000,mlp.dense_4h_to_h,48.000369609398376,476.19485820826407,5.657239993413289,35.51719859364947,0.6845653454462687,47.5,2.713788730776686
EleutherAI/pythia-70m-deduped,64000,mlp.dense_h_to_4h,43.56967419925738,471.2960300111468,7.9918389320373535,45.0460170621355,0.7541497250398,53.5,2.659536908112446
EleutherAI/pythia-70m-deduped,143000,attention.dense,44.85464037256179,362.75284671034905,1.9141129553318024,11.549095999876442,0.6349816272656122,0.0,2.1032144221397218
EleutherAI/pythia-70m-deduped,143000,attention.query_key_value,32.256525453107194,364.93100579533035,44.259087006251015,86.59095986983702,0.7904938260714213,112.66666666666667,1.8131644015589377
EleutherAI/pythia-70m-deduped,143000,mlp.dense_4h_to_h,36.865490514087945,468.68620638501324,5.669284264246623,27.336608664078074,0.7148129145304362,55.166666666666664,2.4644411727506834
EleutherAI/pythia-70m-deduped,143000,mlp.dense_h_to_4h,38.034134500308504,469.5704488225462,6.269893805185954,31.463430461652063,0.8246688445409139,54.833333333333336,2.537634231072978
