stage,step,seed,norm_margin_auc,norm_accuracy_auc,norm_margin_final,norm_accuracy_final,experiment_id,model,timestamp,n_items,n_probe,n_train_texts,base_probe_mean_margin,base_probe_accuracy,base_probe_mean_nll,base_control_mean_margin,base_control_accuracy,post_injection_mean_margin,post_injection_accuracy,post_injection_mean_nll,uptake_margin_delta,uptake_accuracy_delta,injection_train_steps,injection_final_loss,post_continuation_mean_margin,post_continuation_accuracy,post_continuation_mean_nll,normalized_retention_margin,normalized_retention_accuracy,continuation_train_steps,continuation_final_loss,k_star_accuracy_threshold,degradation_auc_accuracy,degradation_auc_margin,degradation_final_accuracy,degradation_final_margin
step128,128,0,0.6984987530052355,0.7173446494338115,0.45566403986359966,0.4067796610169492,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T19:22:09+0000,300,200,900,-0.8555588459968567,0.21,9.957227890491486,-0.8997256255149841,0.18,-0.0367883050441741,0.505,4.200298649072647,0.8187705409526825,0.295,600,0.7640553712844849,-0.6094876050949096,0.32,7.402819128036499,0.3005374871152915,0.3728813559322034,500,6.745697498321533,0.4000000000000004,95.58,-114.15911237716676,0.33,-0.4824745535850525
step128,128,1,0.8370595966085924,0.8334531870057602,0.5438844345788422,0.5932203389830508,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T19:26:56+0000,300,200,900,-0.8578200149536133,0.195,9.963700928688048,-0.900703854560852,0.19,-0.1300858569145202,0.49,4.75708023428917,0.727734158039093,0.295,600,0.8708354234695435,-0.5839219284057617,0.3,7.428948521614075,0.3763710738628515,0.3559322033898304,500,6.751956939697266,0.0,100.71,-97.88962485551832,0.37,-0.4620167338848114
step128,128,2,0.8139618160770627,0.8865101384878433,0.5224550004782625,0.7391304347826086,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T19:31:43+0000,300,200,900,-0.7953463172912598,0.2,9.899805026054382,-0.880975422859192,0.22,0.1428993082046508,0.545,3.7211670732498168,0.9382456254959108,0.345,600,0.7810132503509521,-0.4826091599464416,0.345,7.289375138282776,0.3333211995307951,0.4202898550724636,500,6.749880313873291,33.684210526315795,117.98,-53.25228355646133,0.455,-0.3051551985740661
step128,128,3,0.7383713191640069,0.6774372158452053,0.5388823542577322,0.5249999999999999,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T19:36:30+0000,300,200,900,-0.9718049550056458,0.15,9.99203183889389,-0.8443694233894348,0.195,0.1327538013458252,0.55,3.932577644586563,1.104558756351471,0.4,600,0.8718868494033813,-0.6004229402542114,0.32,7.472689328193664,0.3362265815339392,0.425,500,6.749954700469971,1.7391304347826095,97.64,-77.90138839244842,0.36,-0.3765777319669723
step128,128,4,0.7315706141770871,0.7872805117508549,0.3149750285478463,0.4776119402985075,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T19:41:17+0000,300,200,900,-0.9435645318031312,0.165,9.940851831436158,-1.082864646911621,0.185,-0.1119147002696991,0.5,4.188425436019897,0.8316498315334321,0.3349999999999999,600,0.8880029320716858,-0.6407809901237488,0.315,7.326578776836396,0.364075756645194,0.4477611940298507,500,6.7474045753479,0.0,96.82,-127.6916076719761,0.325,-0.6816156023740768
step143000,143000,0,0.5156782517941026,0.7177582936452472,0.11824591254893696,0.21621621621621626,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T21:46:48+0000,300,200,900,-1.256105102300644,0.24,7.90625351190567,-1.1961841344833375,0.265,4.5445316951524,0.98,0.8285907072771806,5.800636797453044,0.74,600,0.5785746574401855,0.0435580658912658,0.545,5.630271409749985,0.2240552569611958,0.4121621621621622,500,3.3177297115325928,136.00000000000006,141.11,33.81456504266477,0.4,-0.5702035108208656
step143000,143000,1,0.5720306146430713,0.698831736690843,0.18690716371683194,0.2671755725190839,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T21:51:34+0000,300,200,900,-1.2620050716400146,0.275,7.879902794361114,-1.3799276506900788,0.215,3.070692501682788,0.93,1.1710436349920927,4.332697573322802,0.655,600,0.750204861164093,-0.0778859198093414,0.495,5.599748545885086,0.2732983624616469,0.3358778625954198,500,3.3170111179351807,96.00000000000004,137.43,19.520691579915585,0.45,-0.4521928569674492
step143000,143000,2,0.57430964544434,0.6678453448376841,0.157797449643898,0.12903225806451615,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T21:56:20+0000,300,200,900,-1.2424331200122831,0.245,7.825390833616256,-1.3007026100158692,0.295,2.439610094251111,0.865,1.983098594127223,3.6820432142633934,0.62,600,0.6795294284820557,-0.1909844815731048,0.465,5.790070604085923,0.2855611890610373,0.3548387096774194,500,3.30959415435791,52.98360655737704,113.42,-66.09487837901338,0.325,-0.6614160913228989
step143000,143000,3,0.5830493791600194,0.6973492464418855,0.18330835109095495,0.2740740740740741,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T22:01:06+0000,300,200,900,-1.181715121269226,0.275,7.7115638422966,-1.3855540764331815,0.22,3.274593478330571,0.95,1.2506768048916277,4.456308599599797,0.6749999999999999,600,0.5926228165626526,0.1762774378061294,0.53,5.429826421141624,0.3047348559292575,0.3777777777777778,500,3.330005168914795,182.85714285714283,144.43,46.84356181567695,0.46,-0.3648365399241447
step143000,143000,4,0.528999954674081,0.7215482952200141,0.10251704624959117,0.2236842105263158,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T22:05:53+0000,300,200,900,-1.2731839978694917,0.22,7.7186991202831265,-1.2753174746036529,0.245,5.518158059100242,0.98,0.8273113250931783,6.791342056969733,0.76,600,0.6607609987258911,-0.3060036087036132,0.485,5.677638093233108,0.1424137351723129,0.3486842105263158,500,3.330467700958252,87.04000000000002,135.73,72.98078773149606,0.39,-0.5769556701183319
step2000,2000,0,0.8531744698999323,0.7142607122495176,0.6535344006383763,0.2199999999999999,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T20:34:23+0000,300,200,900,-1.4367872428894044,0.23,8.531804943084717,-1.401017379760742,0.225,-0.1940261632204055,0.48,3.850592253804207,1.2427610796689987,0.2499999999999999,600,0.5502502918243408,-0.6259364032745361,0.375,5.992760056257248,0.6524591515457123,0.5800000000000001,500,3.7125227451324463,0.0,85.47999999999999,-138.35494490504263,0.285,-0.6246001255512238
step2000,2000,1,0.8794419106319293,0.7696381225296891,0.6333295276623984,0.5555555555555556,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T20:39:11+0000,300,200,900,-1.386099669933319,0.235,8.543638861179351,-1.4458591961860656,0.24,0.0649379396438598,0.505,3.4757664769887926,1.4510376095771789,0.27,600,0.6307114362716675,-0.4922709119319916,0.375,5.792937735319137,0.6159928261692557,0.5185185185185185,500,3.717885971069336,1.3333333333333333,99.64,-77.32267583608629,0.385,-0.4671147060394287
step2000,2000,2,0.8878876227273573,0.8945780608905299,0.6491759530119741,0.5964912280701755,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T20:43:59+0000,300,200,900,-1.3888240730762482,0.235,8.46483108639717,-1.4804294610023498,0.26,0.0599971023201942,0.52,3.5878416749835016,1.4488211753964424,0.285,600,0.5701456069946289,-0.3172410154342651,0.44,5.937937434911728,0.7396240998125699,0.7192982456140351,500,3.7130610942840576,28.80000000000001,113.16,-78.08988020300866,0.405,-0.4482842057943344
step2000,2000,3,0.841315791605388,0.7782443214952639,0.5950677085961489,0.4473684210526316,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T20:48:47+0000,300,200,900,-1.407445034980774,0.19,8.514946682453155,-1.4633500719070434,0.21,0.1995171156525612,0.57,3.3120166251063345,1.6069621506333351,0.3799999999999999,600,0.5380107760429382,-0.3013251781463623,0.41,5.668033289909363,0.6883297508895702,0.5789473684210527,500,3.7215576171875,25.88235294117648,100.11,-78.36124797403812,0.36,-0.4511937502026558
step2000,2000,4,0.8635300580687939,0.829781599845859,0.6155392602738705,0.5342465753424657,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T20:53:34+0000,300,200,900,-1.5059572386741638,0.215,8.506301231384278,-1.6291537046432496,0.17,0.3602606529742479,0.58,3.292576978728176,1.866217891648412,0.365,600,0.6610745191574097,-0.2771484553813934,0.41,5.63912361741066,0.658448720694332,0.5342465753424657,500,3.7155683040618896,36.57142857142858,114.35,-43.216949635595086,0.41,-0.3572268581390381
step3000,3000,0,0.838154521174688,0.7807679805651007,0.6027243542604527,0.30188679245283,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T20:58:37+0000,300,200,900,-1.311101746559143,0.27,8.42023773431778,-1.2867674016952515,0.24,0.0415834753215312,0.535,3.4572442288696767,1.3526852218806744,0.265,600,0.527168869972229,-0.4204488110542297,0.405,5.48664169549942,0.6584332563836357,0.5094339622641509,500,3.551720142364502,19.200000000000003,105.62,-98.89496789008378,0.35,-0.4958054196834564
step3000,3000,1,0.8242677793912825,0.7451826543492822,0.5097600480564337,0.2586206896551725,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T21:03:25+0000,300,200,900,-1.2454102993011475,0.32,8.437689487934113,-1.2550298190116882,0.285,0.4561177736520767,0.61,3.089408207535744,1.7015280729532245,0.29,600,0.6116846799850464,-0.286662220954895,0.45,5.406865561008454,0.5634629798862031,0.4482758620689656,500,3.554121494293213,50.66666666666665,117.85,-38.48205675363541,0.395,-0.3780392670631409
step3000,3000,2,0.8493425040671801,0.8238902663572557,0.5291241203712874,0.39622641509433953,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T21:08:13+0000,300,200,900,-1.2175197404623033,0.27,8.33856344640255,-1.2728116750717162,0.325,0.2168707760795951,0.535,3.358148557282984,1.4343905165418984,0.265,600,0.5722838640213013,-0.2516977876424789,0.43,5.5699543982744215,0.6733326396693399,0.6037735849056602,500,3.55297589302063,30.40000000000001,108.85,-66.3582421825081,0.375,-0.4585491201281547
step3000,3000,3,0.8118948127509901,0.7670867739253109,0.4999781253708779,0.32432432432432434,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T21:13:01+0000,300,200,900,-1.1595660829544068,0.255,8.28289651632309,-1.2687830018997193,0.25,0.4147316741943359,0.625,3.149061055183411,1.5742977571487426,0.37,600,0.512786865234375,-0.1003410100936889,0.505,5.362884860038758,0.6728238467284052,0.6756756756756757,500,3.5505805015563965,44.23529411764707,114.59000000000002,-43.13273270487785,0.375,-0.3724516415596008
step3000,3000,4,0.834938564713923,0.7634814518242744,0.5601462565194987,0.393939393939394,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T21:17:50+0000,300,200,900,-1.2724644601345063,0.275,8.28224219083786,-1.5144596362113951,0.235,0.3343782350420952,0.605,3.290220640599728,1.6068426951766015,0.3299999999999999,600,0.6950509548187256,-0.3182793009281158,0.42,5.577720042467117,0.5938261175600141,0.4393939393939393,500,3.550221920013428,39.040000000000006,113.89,-50.64180765867233,0.405,-0.3723975396156311
step512,512,0,0.877366584348811,0.777331601339712,0.6813148189118522,0.43023255813953487,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T19:46:13+0000,300,200,900,-1.3444418120384216,0.2,8.296433169841766,-1.3816769742965698,0.18,0.261806765794754,0.63,3.26885332107544,1.6062485778331757,0.43,600,0.6007377505302429,-0.4858089804649353,0.37,5.993778703212738,0.5345578781658935,0.3953488372093023,500,5.005146503448486,41.99999999999999,113.45000000000002,-39.35166507482528,0.385,-0.2500808531045914
step512,512,1,0.8760073098089276,0.9175271574665559,0.7304782422317458,0.736111111111111,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T19:51:00+0000,300,200,900,-1.330926730632782,0.185,8.246389930248261,-1.3963732481002809,0.22,0.2518846487998962,0.545,3.472017192840576,1.582811379432678,0.36,600,0.677014172077179,-0.3977534103393554,0.37,5.858490641117096,0.5895669771011507,0.5138888888888888,500,4.999614715576172,40.0,121.52,-21.93213288784027,0.45,-0.1747174564003944
step512,512,2,0.8642106149331454,0.8336426181171329,0.6165907150200493,0.5483870967741935,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T19:55:48+0000,300,200,900,-1.223577721118927,0.205,8.143995549678802,-1.4674925518035888,0.24,0.3911421048641205,0.67,3.217402028441429,1.6147198259830473,0.4650000000000001,600,0.6433995366096497,-0.3268020915985107,0.42,5.9509864830970765,0.5553753753995408,0.4623655913978494,500,4.995763778686523,61.71428571428571,128.5,-18.92793396115303,0.46,-0.2279564690589904
step512,512,3,0.8930032568685807,0.844113259621339,0.7626347717853939,0.6710526315789475,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T20:00:36+0000,300,200,900,-1.3811297607421875,0.185,8.285594239234925,-1.4291153788566588,0.175,0.2007516682147979,0.565,3.205248072743416,1.5818814289569856,0.3799999999999999,600,0.6378183960914612,-0.3440534234046936,0.37,5.957472279071808,0.6555967586150188,0.4868421052631579,500,5.001546859741211,32.000000000000014,118.45,-29.31120601058006,0.44,-0.1747319781780243
step512,512,4,0.9106316797506302,0.8615879225510071,0.6356287399692256,0.45161290322580633,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T20:05:23+0000,300,200,900,-1.4128366446495055,0.21,8.203169574737549,-1.520563097000122,0.19,0.052326208949089,0.52,3.463902714848518,1.4651628535985946,0.31,600,0.7482717037200928,-0.4016321468353271,0.395,5.849816844463349,0.6901652572821877,0.5967741935483871,500,5.003105640411377,24.000000000000007,105.32999999999998,-70.2116878658533,0.35,-0.4815370261669159
step8000,8000,0,0.7875157041069344,0.7714167214825794,0.4338720629007349,0.3333333333333333,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T21:22:45+0000,300,200,900,-1.2751419258117676,0.28,8.039032921791076,-1.277317726612091,0.29,0.979166389554739,0.745,2.712968358546496,2.2543083153665067,0.4649999999999999,600,0.4924075901508331,-0.2962258517742157,0.475,5.182263890504837,0.4342423205223368,0.4193548387096773,500,3.3247323036193848,109.17647058823532,132.42000000000002,3.26428541958332,0.435,-0.2970605266094208
step8000,8000,1,0.8199535941845171,0.8171574657489064,0.4741022523036905,0.3894736842105263,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T21:27:32+0000,300,200,900,-1.3309496009349824,0.28,8.03148956298828,-1.3678428733348846,0.27,1.0594436553120614,0.755,2.6508100882172583,2.390393256247044,0.475,600,0.6275773048400879,-0.1995454430580139,0.405,5.172002412080765,0.4733129810001604,0.2631578947368421,500,3.327288866043091,192.0,142.38,44.00231992304325,0.465,-0.1976587742567062
step8000,8000,2,0.781492972338515,0.7916786982697628,0.4496983608838081,0.40404040404040403,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T21:32:20+0000,300,200,900,-1.2870574545860292,0.23,7.929947254657745,-1.2817229676246642,0.305,0.823049064129591,0.725,2.924791234284639,2.1101065187156203,0.495,600,0.5792064666748047,-0.2940562273561954,0.44,5.324269794374704,0.4705929385186932,0.4242424242424242,500,3.331601858139038,60.30769230769231,127.21,-27.6215238347277,0.43,-0.3381460118293762
step8000,8000,3,0.7951931849811933,0.8064312728307519,0.45800262730544067,0.3979591836734694,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T21:37:08+0000,300,200,900,-1.130008683204651,0.295,7.724090292453765,-1.328938763141632,0.215,1.2195333522558212,0.785,2.5537951201200486,2.3495420354604724,0.49,600,0.4777773916721344,-0.057854346036911,0.48,5.001735650300979,0.4563248160646826,0.3775510204081632,500,3.3290255069732666,235.7894736842105,147.54999999999998,66.42740219295024,0.49,-0.0539122579991817
step8000,8000,4,0.8249650732087723,0.8581913701775786,0.42436718958591685,0.37755102040816324,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T21:41:55+0000,300,200,900,-1.2047160708904263,0.26,7.735884963274002,-1.3907628619670869,0.285,0.9482667617499828,0.75,2.811410871297121,2.152982832640409,0.49,600,0.7153054475784302,-0.2143597197532653,0.45,5.188437682390213,0.45999268369576,0.3877551020408163,500,3.332120656967163,192.0,146.0,34.55828914552927,0.445,-0.2910607969760895
