experiment_id,model,stage,step,seed,timestamp,n_items,n_probe,n_train_texts,base_probe_mean_margin,base_probe_accuracy,base_probe_mean_nll,base_control_mean_margin,base_control_accuracy,post_injection_mean_margin,post_injection_accuracy,post_injection_mean_nll,uptake_margin_delta,uptake_accuracy_delta,injection_train_steps,injection_final_loss,post_continuation_mean_margin,post_continuation_accuracy,post_continuation_mean_nll,normalized_retention_margin,normalized_retention_accuracy,continuation_train_steps,continuation_final_loss,k_star_accuracy_threshold,degradation_auc_accuracy,degradation_auc_margin,degradation_final_accuracy,degradation_final_margin
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step2,2,0,2026-06-07T11:15:57+0000,300,200,900,-0.43896362781524656,0.225,11.042292437553407,-0.4035240268707275,0.195,-0.2528665781021118,0.41,5.089544252157212,0.18609704971313473,0.18499999999999997,600,0.7791672348976135,-0.7868799352645874,0.26,8.119503064155579,-1.8695423059400869,0.18918918918918923,500,7.220890998840332,0.0,80.92999999999999,-180.79519954919814,0.31,-0.7142419362068176
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step2,2,1,2026-06-07T11:19:43+0000,300,200,900,-0.4137525224685669,0.185,11.01184051990509,-0.47821406364440916,0.18,-0.19187291145324706,0.48,4.573878840208054,0.22187961101531986,0.295,600,0.8947740197181702,-0.7890075254440307,0.25,8.260361256599426,-1.6912550065249305,0.22033898305084748,500,7.232461452484131,0.0,97.22000000000001,-123.15838247060776,0.33,-0.540467100739479
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step2,2,2,2026-06-07T11:23:25+0000,300,200,900,-0.46304108619689943,0.195,11.015009922981262,-0.4703633689880371,0.17,-0.036007376909255984,0.495,4.433548181056977,0.42703370928764345,0.3,600,0.7856775522232056,-0.6194182538986206,0.3,8.125838034152984,-0.3661939661919942,0.35,500,7.218783378601074,0.0,96.67,-105.42339453935622,0.385,-0.4302449369430542
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,0,2026-06-07T11:46:10+0000,300,200,900,-0.4387421751022339,0.225,11.042428646087647,-0.40339687824249265,0.195,-0.25288305163383484,0.41,5.0895442867279055,0.18585912346839906,0.18499999999999997,600,0.7791740298271179,-0.7868452930450439,0.26,8.119569334983826,-1.8729407060934338,0.18918918918918923,500,7.220894813537598,0.0,80.92999999999999,-180.7992804980278,0.31,-0.7143104648590088
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,1,2026-06-07T11:48:51+0000,300,200,900,-0.41373811721801756,0.185,11.012007393836974,-0.4780512237548828,0.18,-0.1918882167339325,0.48,4.573884804248809,0.22184990048408507,0.295,600,0.8947798609733582,-0.7889574050903321,0.25,8.260390751361847,-1.6913205146974215,0.22033898305084748,500,7.2324700355529785,0.0,97.22000000000001,-123.16041734695435,0.33,-0.540467249751091
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,2,2026-06-07T11:51:34+0000,300,200,900,-0.4628769063949585,0.195,11.015091428756714,-0.47033311367034913,0.17,-0.035949828624725344,0.495,4.433163384199142,0.42692707777023314,0.3,600,0.7856821417808533,-0.6194463157653809,0.3,8.125882577896117,-0.3667357202737235,0.35,500,7.218786239624023,0.0,96.67,-105.41979072570801,0.385,-0.4302324914932251
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step2,2,0,2026-06-07T11:54:18+0000,300,200,900,-0.43896362781524656,0.225,11.042292428016662,-0.4035240268707275,0.195,-0.25286632776260376,0.41,5.0895438277721405,0.1860973000526428,0.18499999999999997,600,0.7791672348976135,-0.7868799018859863,0.26,8.119502964019775,-1.8695396116564935,0.18918918918918923,500,7.220890522003174,0.0,80.92999999999999,-180.7952146077156,0.31,-0.7142421102523804
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step2,2,1,2026-06-07T11:57:01+0000,300,200,900,-0.4137525415420532,0.185,11.011840538978577,-0.4782140302658081,0.18,-0.19187296867370607,0.48,4.573878849744797,0.22187957286834714,0.295,600,0.8947742581367493,-0.7890074539184571,0.25,8.260360724925995,-1.6912548889710655,0.22033898305084748,500,7.2324604988098145,0.0,97.22000000000001,-123.1583517742157,0.33,-0.5404669225215912
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step2,2,2,2026-06-07T11:59:41+0000,300,200,900,-0.4630411052703857,0.195,11.015009927749634,-0.4703633642196655,0.17,-0.03600720643997193,0.495,4.433546516895294,0.4270338988304138,0.3,600,0.7856773734092712,-0.6194183278083801,0.3,8.12583760023117,-0.3661939320655568,0.35,500,7.218782901763916,0.0,96.67,-105.4233687710762,0.385,-0.43024482250213625
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step4,4,0,2026-06-07T12:02:24+0000,300,200,900,-0.44751490592956544,0.225,11.036100950241089,-0.40922256946563723,0.205,-0.2528421926498413,0.415,5.090248906612397,0.19467271327972413,0.18999999999999997,600,0.7791627645492554,-0.7875409340858459,0.26,8.117651124000549,-1.7466547952598728,0.18421052631578952,500,7.2205634117126465,0.0,80.94,-180.93611498117448,0.31,-0.7122061789035797
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step4,4,1,2026-06-07T12:05:00+0000,300,200,900,-0.41447551250457765,0.19,11.004538898468018,-0.4849848222732544,0.19,-0.19073546409606934,0.48,4.573343331813812,0.2237400484085083,0.29,600,0.894456148147583,-0.790727550983429,0.25,8.259776344299317,-1.681648149963229,0.20689655172413793,500,7.23180627822876,0.0,97.22000000000001,-122.81669102430345,0.33,-0.5394681024551392
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step4,4,2,2026-06-07T12:07:36+0000,300,200,900,-0.46973476409912107,0.2,11.011045880317688,-0.4716476917266846,0.185,-0.03755327224731445,0.495,4.444452131986618,0.4321814918518066,0.295,600,0.7856961488723755,-0.6187453746795655,0.295,8.124397292137147,-0.34478711696321224,0.32203389830508466,500,7.218664646148682,0.0,96.52000000000001,-105.54298896789552,0.385,-0.4309003973007202
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step8,8,0,2026-06-07T12:10:16+0000,300,200,900,-0.4713063430786133,0.175,11.00383505344391,-0.42966203689575194,0.205,-0.25822028756141663,0.41,5.116229691505432,0.21308605551719667,0.235,600,0.7791893482208252,-0.7900020265579224,0.265,8.115250971317291,-1.4956196110805073,0.38297872340425543,500,7.220127582550049,0.0,80.3,-182.58352548360824,0.305,-0.7086702167987824
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step8,8,1,2026-06-07T12:12:51+0000,300,200,900,-0.41763274192810057,0.21,10.969118242263795,-0.5030900001525879,0.185,-0.18803584098815918,0.48,4.577917040586471,0.2295969009399414,0.27,600,0.8935166597366333,-0.7919120573997498,0.265,8.254157273769378,-1.6301583947317924,0.20370370370370378,500,7.229743003845215,0.0,97.86,-122.16318808674811,0.33,-0.537692461013794
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step8,8,2,2026-06-07T12:15:25+0000,300,200,900,-0.48959223747253416,0.215,10.98641685962677,-0.46565001487731933,0.195,-0.04619604468345642,0.485,4.499189124107361,0.4433961927890777,0.27,600,0.7858612537384033,-0.6167574715614319,0.3,8.12745019674301,-0.286798209269672,0.31481481481481477,500,7.218315124511719,0.0,97.81,-106.30442113161087,0.385,-0.43275451540946963
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step16,16,0,2026-06-07T12:18:04+0000,300,200,900,-0.43536388874053955,0.205,10.92025652885437,-0.45207183837890624,0.155,-0.30812233567237857,0.405,5.325539373159408,0.12724155306816098,0.20000000000000004,600,0.7827582955360413,-0.7769224858283996,0.265,8.113488821983337,-2.6843321922115595,0.30000000000000004,500,7.218380451202393,0.0,78.47999999999999,-193.54641680717467,0.305,-0.7417156565189361
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step16,16,1,2026-06-07T12:20:39+0000,300,200,900,-0.4208104610443115,0.23,10.890283837318421,-0.45522828578948976,0.16,-0.19617456674575806,0.47,4.662494412660599,0.22463589429855346,0.23999999999999996,600,0.8966889977455139,-0.7895331144332886,0.265,8.272310194969178,-1.6414235780988962,0.14583333333333337,500,7.2252583503723145,0.0,97.75,-125.37830965876577,0.34,-0.5599674355983734
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step16,16,2,2026-06-07T12:23:13+0000,300,200,900,-0.4564508819580078,0.205,10.91470980644226,-0.4167885732650757,0.195,-0.10362513422966003,0.475,4.781825294494629,0.3528257477283478,0.27,600,0.7871668934822083,-0.5931126594543457,0.31,8.143302528858184,-0.38733504676523284,0.3888888888888889,500,7.2135396003723145,0.0,94.63,-112.76631769180298,0.355,-0.4385360813140869
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step32,32,0,2026-06-07T12:25:50+0000,300,200,900,-0.4131184768676758,0.19,10.911541590690613,-0.41000525951385497,0.235,-0.36541090250015257,0.39,5.362508586645126,0.04770757436752321,0.2,600,0.7993472218513489,-0.7314719796180725,0.275,8.048691072463988,-6.673018005440976,0.4250000000000001,500,7.203035831451416,0.0,75.84,-208.18218660116196,0.265,-0.8135362255573273
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step32,32,1,2026-06-07T12:28:24+0000,300,200,900,-0.39571940898895264,0.23,10.893084735870362,-0.39182095050811766,0.16,-0.32116500854492186,0.43,4.847333670854568,0.07455440044403078,0.19999999999999998,600,0.91678386926651,-0.744471480846405,0.27,8.194389889240265,-4.677820085472572,0.20000000000000007,500,7.211457252502441,0.0,95.05,-147.61036522865297,0.35,-0.6103166937828064
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step32,32,2,2026-06-07T12:30:57+0000,300,200,900,-0.3804685640335083,0.195,10.897391800880433,-0.37320842266082765,0.2,-0.20352627515792845,0.455,4.832006204128265,0.17694228887557986,0.26,600,0.8018124103546143,-0.5413239431381226,0.31,8.1059911942482,-0.9090838607706868,0.44230769230769224,500,7.2025251388549805,0.0,85.68,-135.24613804340362,0.32,-0.5340028607845306
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step64,64,0,2026-06-07T12:33:37+0000,300,200,900,-0.5013915824890137,0.15,10.6702561044693,-0.4729869270324707,0.2,-0.12762461304664613,0.47,4.278541642427444,0.3737669694423676,0.31999999999999995,600,0.7966897487640381,-0.6334251737594605,0.305,7.828941252231598,-0.35325109510728314,0.48437500000000006,500,7.116213798522949,0.0,83.38,-142.47524359941482,0.31,-0.5818885207176209
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step64,64,1,2026-06-07T12:36:13+0000,300,200,900,-0.4076833438873291,0.255,10.61932511806488,-0.4175633764266968,0.19,-0.26727712750434873,0.48,4.5651427745819095,0.14040621638298034,0.22499999999999998,600,0.9091871380805969,-0.6514064478874206,0.29,7.888766803741455,-1.735842687586552,0.15555555555555547,500,7.12321662902832,0.0,98.93,-114.12812339067459,0.365,-0.5009931051731109
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step64,64,2,2026-06-07T12:38:50+0000,300,200,900,-0.43854164123535155,0.24,10.648979244232178,-0.4306031560897827,0.225,-0.009507490396499634,0.515,4.122863962650299,0.42903415083885194,0.275,600,0.8039802312850952,-0.4670776414871216,0.315,7.8092915225029,-0.06651218835604619,0.27272727272727276,500,7.11378812789917,16.0,100.15,-86.76632939577102,0.345,-0.42099318504333494
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step128,128,0,2026-06-07T12:41:29+0000,300,200,900,-0.8555587816238404,0.21,9.95722785949707,-0.8997256398200989,0.18,-0.036788369417190554,0.505,4.200298399925232,0.8187704122066498,0.29500000000000004,600,0.7640551328659058,-0.6094874358177185,0.32,7.402818343639374,0.3005376624967926,0.3728813559322034,500,6.745697498321533,0.40000000000000047,95.58000000000001,-114.15904520988464,0.33,-0.4824741983413696
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step128,128,1,2026-06-07T12:44:01+0000,300,200,900,-0.8578199958801269,0.195,9.963700885772704,-0.9007038116455078,0.19,-0.13008567810058594,0.49,4.757079648971557,0.727734317779541,0.295,600,0.870835542678833,-0.5839218568801879,0.3,7.4289484333992,0.3763710633238453,0.35593220338983045,500,6.751956939697266,0.0,100.71000000000001,-97.88965963363647,0.37,-0.4620172476768494
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step128,128,2,2026-06-07T12:46:33+0000,300,200,900,-0.7953463125228882,0.2,9.899805040359498,-0.8809754800796509,0.22,0.1428991436958313,0.545,3.7211675524711607,0.9382454562187195,0.34500000000000003,600,0.7810133099555969,-0.4826090502738953,0.345,7.289375424385071,0.33332137147711277,0.42028985507246364,500,6.749880313873291,33.684210526315795,117.98,-53.25233901858329,0.455,-0.3051555007696152
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step256,256,0,2026-06-07T12:49:14+0000,300,200,900,-1.247326602935791,0.21,9.113575971126556,-1.2550334787368775,0.195,-0.09860303282737731,0.5,4.297760430574417,1.1487235701084137,0.29000000000000004,600,0.6735162138938904,-0.6404812073707581,0.34,7.109423546791077,0.5282780046967787,0.4482758620689656,500,6.024511337280273,0.0,88.11000000000001,-130.28238570928573,0.315,-0.5765704798698426
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step256,256,1,2026-06-07T12:51:48+0000,300,200,900,-1.1849677181243896,0.22,9.143878600597382,-1.340010139942169,0.195,-0.12124097228050232,0.45,4.653891315460205,1.0637267458438873,0.23,600,0.7831819653511047,-0.5345142412185669,0.33,7.023348484039307,0.6114854961081173,0.4782608695652174,500,6.0419111251831055,0.0,109.41999999999999,-77.66275188446046,0.385,-0.3317632043361664
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step256,256,2,2026-06-07T12:54:19+0000,300,200,900,-1.1082754421234131,0.24,8.986041538715362,-1.3454573273658752,0.245,0.130855495929718,0.565,3.9393921375274656,1.239130938053131,0.32499999999999996,600,0.701029896736145,-0.5286447358131409,0.36,6.875751399993897,0.46777195896743806,0.36923076923076925,500,6.035022258758545,31.27272727272728,116.06,-48.423738006353375,0.45,-0.24375424683094024
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-07T12:56:54+0000,300,200,900,-1.3444416809082032,0.2,8.296433081626892,-1.3816769623756409,0.18,0.2618079686164856,0.63,3.2688503849506376,1.6062496495246887,0.43,600,0.6007381081581116,-0.48580901145935057,0.37,5.9937787842750545,0.5345574205746496,0.3953488372093023,500,5.005146026611328,41.99999999999999,113.45000000000002,-39.35169103741646,0.385,-0.2500815933942795
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step512,512,1,2026-06-07T12:59:22+0000,300,200,900,-1.3309267902374267,0.185,8.246389937400817,-1.3963733315467834,0.22,0.2519332718849182,0.545,3.4719220566749573,1.5828600621223448,0.36000000000000004,600,0.6770102381706238,-0.3977488744258881,0.37,5.858493913412094,0.5895517475880379,0.5138888888888888,500,4.9996137619018555,40.0,121.52000000000001,-21.91934195756912,0.45,-0.1746590581536293
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step512,512,2,2026-06-07T13:01:58+0000,300,200,900,-1.2235776376724243,0.205,8.143995513916016,-1.4674924945831298,0.24,0.3911415511369705,0.67,3.217403925061226,1.6147191888093948,0.4650000000000001,600,0.6433991193771362,-0.3268019151687622,0.42,5.950986015796661,0.5553756521373201,0.4623655913978494,500,4.995763778686523,61.71428571428571,128.5,-18.92802072644234,0.46,-0.22795714259147645
